timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], power.draw [W], power.max_limit [W], temperature.gpu
2023/03/09 19:18:47.305, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 11135 MiB, 8.34 W, 350.00 W, 27
2023/03/09 19:18:48.309, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 11135 MiB, 45.94 W, 350.00 W, 30
2023/03/09 19:18:49.311, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 11135 MiB, 104.61 W, 350.00 W, 31
2023/03/09 19:18:50.312, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 11135 MiB, 104.79 W, 350.00 W, 31
2023/03/09 19:18:51.314, NVIDIA GeForce RTX 3090, 66 %, 52 %, 24268 MiB, 11135 MiB, 257.25 W, 350.00 W, 37
2023/03/09 19:18:52.315, NVIDIA GeForce RTX 3090, 73 %, 58 %, 24268 MiB, 11135 MiB, 332.84 W, 350.00 W, 39
2023/03/09 19:18:53.318, NVIDIA GeForce RTX 3090, 65 %, 51 %, 24268 MiB, 11135 MiB, 327.71 W, 350.00 W, 40
2023/03/09 19:18:54.319, NVIDIA GeForce RTX 3090, 74 %, 58 %, 24268 MiB, 11135 MiB, 330.20 W, 350.00 W, 41
2023/03/09 19:18:55.321, NVIDIA GeForce RTX 3090, 70 %, 55 %, 24268 MiB, 11135 MiB, 330.48 W, 350.00 W, 41
2023/03/09 19:18:56.323, NVIDIA GeForce RTX 3090, 67 %, 53 %, 24268 MiB, 11135 MiB, 331.52 W, 350.00 W, 41
2023/03/09 19:18:57.325, NVIDIA GeForce RTX 3090, 69 %, 55 %, 24268 MiB, 11135 MiB, 329.19 W, 350.00 W, 43
2023/03/09 19:18:58.327, NVIDIA GeForce RTX 3090, 72 %, 57 %, 24268 MiB, 11135 MiB, 333.28 W, 350.00 W, 43
2023/03/09 19:18:59.329, NVIDIA GeForce RTX 3090, 71 %, 56 %, 24268 MiB, 11135 MiB, 332.87 W, 350.00 W, 44
2023/03/09 19:19:00.331, NVIDIA GeForce RTX 3090, 72 %, 57 %, 24268 MiB, 11135 MiB, 332.69 W, 350.00 W, 45
2023/03/09 19:19:01.333, NVIDIA GeForce RTX 3090, 68 %, 54 %, 24268 MiB, 11135 MiB, 333.78 W, 350.00 W, 45
2023/03/09 19:19:02.334, NVIDIA GeForce RTX 3090, 51 %, 40 %, 24268 MiB, 11135 MiB, 322.83 W, 350.00 W, 44
2023/03/09 19:19:03.336, NVIDIA GeForce RTX 3090, 86 %, 67 %, 24268 MiB, 11135 MiB, 287.49 W, 350.00 W, 47
2023/03/09 19:19:04.338, NVIDIA GeForce RTX 3090, 86 %, 67 %, 24268 MiB, 11135 MiB, 347.77 W, 350.00 W, 47
2023/03/09 19:19:05.341, NVIDIA GeForce RTX 3090, 86 %, 67 %, 24268 MiB, 11135 MiB, 348.46 W, 350.00 W, 48
2023/03/09 19:19:06.342, NVIDIA GeForce RTX 3090, 86 %, 67 %, 24268 MiB, 11135 MiB, 347.85 W, 350.00 W, 49
