timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], power.draw [W], power.max_limit [W], temperature.gpu
2023/03/09 21:03:08.331, NVIDIA GeForce RTX 3090, 70 %, 55 %, 24268 MiB, 11135 MiB, 329.82 W, 350.00 W, 56
2023/03/09 21:03:09.333, NVIDIA GeForce RTX 3090, 71 %, 55 %, 24268 MiB, 11135 MiB, 331.93 W, 350.00 W, 56
2023/03/09 21:03:10.335, NVIDIA GeForce RTX 3090, 72 %, 56 %, 24268 MiB, 11135 MiB, 333.94 W, 350.00 W, 56
2023/03/09 21:03:11.337, NVIDIA GeForce RTX 3090, 71 %, 56 %, 24268 MiB, 11135 MiB, 333.18 W, 350.00 W, 56
2023/03/09 21:03:12.339, NVIDIA GeForce RTX 3090, 69 %, 54 %, 24268 MiB, 11135 MiB, 328.49 W, 350.00 W, 57
2023/03/09 21:03:13.341, NVIDIA GeForce RTX 3090, 72 %, 56 %, 24268 MiB, 11135 MiB, 330.19 W, 350.00 W, 57
2023/03/09 21:03:14.344, NVIDIA GeForce RTX 3090, 73 %, 57 %, 24268 MiB, 11135 MiB, 333.01 W, 350.00 W, 57
2023/03/09 21:03:15.346, NVIDIA GeForce RTX 3090, 68 %, 53 %, 24268 MiB, 11135 MiB, 331.35 W, 350.00 W, 57
2023/03/09 21:03:16.348, NVIDIA GeForce RTX 3090, 73 %, 57 %, 24268 MiB, 11135 MiB, 330.71 W, 350.00 W, 58
2023/03/09 21:03:17.350, NVIDIA GeForce RTX 3090, 77 %, 60 %, 24268 MiB, 11135 MiB, 336.30 W, 350.00 W, 58
2023/03/09 21:03:18.353, NVIDIA GeForce RTX 3090, 86 %, 66 %, 24268 MiB, 11135 MiB, 347.27 W, 350.00 W, 58
2023/03/09 21:03:19.355, NVIDIA GeForce RTX 3090, 86 %, 66 %, 24268 MiB, 11135 MiB, 347.05 W, 350.00 W, 59
2023/03/09 21:03:20.357, NVIDIA GeForce RTX 3090, 88 %, 68 %, 24268 MiB, 11135 MiB, 346.23 W, 350.00 W, 59
2023/03/09 21:03:21.359, NVIDIA GeForce RTX 3090, 86 %, 66 %, 24268 MiB, 11135 MiB, 345.39 W, 350.00 W, 59
2023/03/09 21:03:22.362, NVIDIA GeForce RTX 3090, 70 %, 55 %, 24268 MiB, 11135 MiB, 319.05 W, 350.00 W, 59
2023/03/09 21:03:23.364, NVIDIA GeForce RTX 3090, 76 %, 59 %, 24268 MiB, 11135 MiB, 333.10 W, 350.00 W, 59
2023/03/09 21:03:24.366, NVIDIA GeForce RTX 3090, 73 %, 57 %, 24268 MiB, 11135 MiB, 334.42 W, 350.00 W, 59
2023/03/09 21:03:25.368, NVIDIA GeForce RTX 3090, 72 %, 56 %, 24268 MiB, 11135 MiB, 329.51 W, 350.00 W, 59
2023/03/09 21:03:26.371, NVIDIA GeForce RTX 3090, 73 %, 56 %, 24268 MiB, 11135 MiB, 332.34 W, 350.00 W, 60
2023/03/09 21:03:27.373, NVIDIA GeForce RTX 3090, 74 %, 57 %, 24268 MiB, 11135 MiB, 332.60 W, 350.00 W, 60
2023/03/09 21:03:28.375, NVIDIA GeForce RTX 3090, 55 %, 44 %, 24268 MiB, 11135 MiB, 327.45 W, 350.00 W, 60
2023/03/09 21:03:29.378, NVIDIA GeForce RTX 3090, 72 %, 56 %, 24268 MiB, 11135 MiB, 333.19 W, 350.00 W, 60
2023/03/09 21:03:30.380, NVIDIA GeForce RTX 3090, 72 %, 56 %, 24268 MiB, 11135 MiB, 333.92 W, 350.00 W, 60
2023/03/09 21:03:31.382, NVIDIA GeForce RTX 3090, 74 %, 57 %, 24268 MiB, 11135 MiB, 332.69 W, 350.00 W, 60
2023/03/09 21:03:32.385, NVIDIA GeForce RTX 3090, 67 %, 52 %, 24268 MiB, 11135 MiB, 331.41 W, 350.00 W, 60
2023/03/09 21:03:33.386, NVIDIA GeForce RTX 3090, 72 %, 56 %, 24268 MiB, 11135 MiB, 333.73 W, 350.00 W, 61
2023/03/09 21:03:34.387, NVIDIA GeForce RTX 3090, 86 %, 66 %, 24268 MiB, 11135 MiB, 345.42 W, 350.00 W, 61
2023/03/09 21:03:35.388, NVIDIA GeForce RTX 3090, 86 %, 66 %, 24268 MiB, 11135 MiB, 345.51 W, 350.00 W, 61
2023/03/09 21:03:36.389, NVIDIA GeForce RTX 3090, 87 %, 67 %, 24268 MiB, 11135 MiB, 346.46 W, 350.00 W, 61
2023/03/09 21:03:37.393, NVIDIA GeForce RTX 3090, 86 %, 66 %, 24268 MiB, 11135 MiB, 345.69 W, 350.00 W, 61
2023/03/09 21:03:38.394, NVIDIA GeForce RTX 3090, 72 %, 56 %, 24268 MiB, 11135 MiB, 321.90 W, 350.00 W, 61
2023/03/09 21:03:39.395, NVIDIA GeForce RTX 3090, 70 %, 55 %, 24268 MiB, 11135 MiB, 335.52 W, 350.00 W, 61
2023/03/09 21:03:40.397, NVIDIA GeForce RTX 3090, 73 %, 56 %, 24268 MiB, 11135 MiB, 333.46 W, 350.00 W, 61
2023/03/09 21:03:41.398, NVIDIA GeForce RTX 3090, 72 %, 56 %, 24268 MiB, 11135 MiB, 334.52 W, 350.00 W, 62
2023/03/09 21:03:42.399, NVIDIA GeForce RTX 3090, 71 %, 55 %, 24268 MiB, 11135 MiB, 333.26 W, 350.00 W, 61
2023/03/09 21:03:43.401, NVIDIA GeForce RTX 3090, 75 %, 58 %, 24268 MiB, 11135 MiB, 336.37 W, 350.00 W, 61
2023/03/09 21:03:44.403, NVIDIA GeForce RTX 3090, 70 %, 55 %, 24268 MiB, 11135 MiB, 330.45 W, 350.00 W, 62
2023/03/09 21:03:45.404, NVIDIA GeForce RTX 3090, 70 %, 55 %, 24268 MiB, 11135 MiB, 332.20 W, 350.00 W, 62
2023/03/09 21:03:46.405, NVIDIA GeForce RTX 3090, 68 %, 53 %, 24268 MiB, 11135 MiB, 334.67 W, 350.00 W, 62
2023/03/09 21:03:47.407, NVIDIA GeForce RTX 3090, 65 %, 51 %, 24268 MiB, 11135 MiB, 330.25 W, 350.00 W, 62
2023/03/09 21:03:48.408, NVIDIA GeForce RTX 3090, 71 %, 55 %, 24268 MiB, 11135 MiB, 334.67 W, 350.00 W, 62
2023/03/09 21:03:49.409, NVIDIA GeForce RTX 3090, 75 %, 58 %, 24268 MiB, 11135 MiB, 336.82 W, 350.00 W, 63
2023/03/09 21:03:50.411, NVIDIA GeForce RTX 3090, 87 %, 67 %, 24268 MiB, 11135 MiB, 342.55 W, 350.00 W, 63
2023/03/09 21:03:51.412, NVIDIA GeForce RTX 3090, 86 %, 66 %, 24268 MiB, 11135 MiB, 346.93 W, 350.00 W, 63
2023/03/09 21:03:52.413, NVIDIA GeForce RTX 3090, 86 %, 66 %, 24268 MiB, 11135 MiB, 347.01 W, 350.00 W, 63
2023/03/09 21:03:53.415, NVIDIA GeForce RTX 3090, 86 %, 66 %, 24268 MiB, 11135 MiB, 347.25 W, 350.00 W, 63
2023/03/09 21:03:54.416, NVIDIA GeForce RTX 3090, 27 %, 21 %, 24268 MiB, 11135 MiB, 258.96 W, 350.00 W, 62
2023/03/09 21:03:55.418, NVIDIA GeForce RTX 3090, 71 %, 55 %, 24268 MiB, 11135 MiB, 331.95 W, 350.00 W, 63
2023/03/09 21:03:56.419, NVIDIA GeForce RTX 3090, 66 %, 51 %, 24268 MiB, 11135 MiB, 326.70 W, 350.00 W, 63
