timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], power.draw [W], power.max_limit [W], temperature.gpu
2023/02/28 15:19:11.396, NVIDIA GeForce RTX 3070, 0 %, 49 %, 8192 MiB, 7480 MiB, 21.17 W, 240.00 W, 40
2023/02/28 15:19:12.398, NVIDIA GeForce RTX 3070, 0 %, 61 %, 8192 MiB, 7480 MiB, 21.22 W, 240.00 W, 40
2023/02/28 15:19:13.401, NVIDIA GeForce RTX 3070, 0 %, 59 %, 8192 MiB, 7480 MiB, 21.29 W, 240.00 W, 40
2023/02/28 15:19:14.404, NVIDIA GeForce RTX 3070, 0 %, 54 %, 8192 MiB, 7480 MiB, 21.32 W, 240.00 W, 40
2023/02/28 15:19:15.406, NVIDIA GeForce RTX 3070, 1 %, 0 %, 8192 MiB, 7480 MiB, 45.97 W, 240.00 W, 42
2023/02/28 15:19:16.407, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7480 MiB, 54.13 W, 240.00 W, 42
2023/02/28 15:19:17.409, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7480 MiB, 54.10 W, 240.00 W, 42
2023/02/28 15:19:18.412, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7480 MiB, 54.12 W, 240.00 W, 43
2023/02/28 15:19:19.413, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7480 MiB, 54.19 W, 240.00 W, 43
2023/02/28 15:19:20.414, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7480 MiB, 54.14 W, 240.00 W, 43
2023/02/28 15:19:21.415, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7480 MiB, 54.17 W, 240.00 W, 43
2023/02/28 15:19:22.416, NVIDIA GeForce RTX 3070, 68 %, 41 %, 8192 MiB, 7480 MiB, 63.98 W, 240.00 W, 47
2023/02/28 15:19:23.418, NVIDIA GeForce RTX 3070, 81 %, 51 %, 8192 MiB, 7480 MiB, 161.80 W, 240.00 W, 52
2023/02/28 15:19:24.419, NVIDIA GeForce RTX 3070, 82 %, 52 %, 8192 MiB, 7480 MiB, 166.14 W, 240.00 W, 53
2023/02/28 15:19:25.420, NVIDIA GeForce RTX 3070, 80 %, 50 %, 8192 MiB, 7480 MiB, 166.18 W, 240.00 W, 54
2023/02/28 15:19:26.422, NVIDIA GeForce RTX 3070, 79 %, 50 %, 8192 MiB, 7480 MiB, 167.86 W, 240.00 W, 54
2023/02/28 15:19:27.423, NVIDIA GeForce RTX 3070, 81 %, 52 %, 8192 MiB, 7480 MiB, 168.25 W, 240.00 W, 55
2023/02/28 15:19:28.424, NVIDIA GeForce RTX 3070, 79 %, 51 %, 8192 MiB, 7480 MiB, 167.95 W, 240.00 W, 55
2023/02/28 15:19:29.426, NVIDIA GeForce RTX 3070, 81 %, 52 %, 8192 MiB, 7480 MiB, 169.22 W, 240.00 W, 56
2023/02/28 15:19:30.427, NVIDIA GeForce RTX 3070, 80 %, 51 %, 8192 MiB, 7480 MiB, 168.15 W, 240.00 W, 55
2023/02/28 15:19:31.429, NVIDIA GeForce RTX 3070, 82 %, 52 %, 8192 MiB, 7480 MiB, 169.33 W, 240.00 W, 56
2023/02/28 15:19:32.430, NVIDIA GeForce RTX 3070, 77 %, 49 %, 8192 MiB, 7480 MiB, 168.49 W, 240.00 W, 56
2023/02/28 15:19:33.431, NVIDIA GeForce RTX 3070, 79 %, 51 %, 8192 MiB, 7480 MiB, 168.74 W, 240.00 W, 56
2023/02/28 15:19:34.433, NVIDIA GeForce RTX 3070, 80 %, 51 %, 8192 MiB, 7480 MiB, 168.94 W, 240.00 W, 56
2023/02/28 15:19:35.435, NVIDIA GeForce RTX 3070, 79 %, 51 %, 8192 MiB, 7480 MiB, 169.63 W, 240.00 W, 57
2023/02/28 15:19:36.436, NVIDIA GeForce RTX 3070, 80 %, 51 %, 8192 MiB, 7480 MiB, 168.77 W, 240.00 W, 57
2023/02/28 15:19:37.438, NVIDIA GeForce RTX 3070, 81 %, 51 %, 8192 MiB, 7480 MiB, 170.31 W, 240.00 W, 57
2023/02/28 15:19:38.439, NVIDIA GeForce RTX 3070, 93 %, 62 %, 8192 MiB, 7480 MiB, 134.33 W, 240.00 W, 58
2023/02/28 15:19:39.441, NVIDIA GeForce RTX 3070, 93 %, 62 %, 8192 MiB, 7480 MiB, 192.08 W, 240.00 W, 58
2023/02/28 15:19:40.443, NVIDIA GeForce RTX 3070, 92 %, 61 %, 8192 MiB, 7480 MiB, 192.87 W, 240.00 W, 59
2023/02/28 15:19:41.444, NVIDIA GeForce RTX 3070, 92 %, 62 %, 8192 MiB, 7480 MiB, 192.57 W, 240.00 W, 59
2023/02/28 15:19:42.446, NVIDIA GeForce RTX 3070, 93 %, 62 %, 8192 MiB, 7480 MiB, 190.42 W, 240.00 W, 59
2023/02/28 15:19:43.447, NVIDIA GeForce RTX 3070, 47 %, 31 %, 8192 MiB, 7480 MiB, 180.29 W, 240.00 W, 54
2023/02/28 15:19:44.449, NVIDIA GeForce RTX 3070, 78 %, 50 %, 8192 MiB, 7480 MiB, 157.02 W, 240.00 W, 58
2023/02/28 15:19:45.451, NVIDIA GeForce RTX 3070, 80 %, 51 %, 8192 MiB, 7480 MiB, 170.04 W, 240.00 W, 58
2023/02/28 15:19:46.453, NVIDIA GeForce RTX 3070, 80 %, 51 %, 8192 MiB, 7480 MiB, 170.13 W, 240.00 W, 58
