timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], power.draw [W], power.max_limit [W], temperature.gpu
2023/03/01 10:33:06.279, NVIDIA GeForce RTX 3070, 0 %, 52 %, 8192 MiB, 7479 MiB, 21.79 W, 240.00 W, 40
2023/03/01 10:33:07.282, NVIDIA GeForce RTX 3070, 0 %, 31 %, 8192 MiB, 7479 MiB, 21.86 W, 240.00 W, 40
2023/03/01 10:33:08.284, NVIDIA GeForce RTX 3070, 0 %, 32 %, 8192 MiB, 7479 MiB, 21.89 W, 240.00 W, 40
2023/03/01 10:33:09.286, NVIDIA GeForce RTX 3070, 0 %, 19 %, 8192 MiB, 7479 MiB, 22.38 W, 240.00 W, 40
2023/03/01 10:33:10.289, NVIDIA GeForce RTX 3070, 2 %, 0 %, 8192 MiB, 7479 MiB, 47.38 W, 240.00 W, 42
2023/03/01 10:33:11.290, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7479 MiB, 54.56 W, 240.00 W, 42
2023/03/01 10:33:12.291, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7479 MiB, 54.49 W, 240.00 W, 42
2023/03/01 10:33:13.292, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7479 MiB, 54.45 W, 240.00 W, 42
2023/03/01 10:33:14.294, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7479 MiB, 54.46 W, 240.00 W, 42
2023/03/01 10:33:15.295, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7479 MiB, 54.48 W, 240.00 W, 42
2023/03/01 10:33:16.296, NVIDIA GeForce RTX 3070, 61 %, 37 %, 8192 MiB, 7479 MiB, 73.34 W, 240.00 W, 49
2023/03/01 10:33:17.297, NVIDIA GeForce RTX 3070, 81 %, 51 %, 8192 MiB, 7479 MiB, 166.42 W, 240.00 W, 52
2023/03/01 10:33:18.299, NVIDIA GeForce RTX 3070, 83 %, 53 %, 8192 MiB, 7479 MiB, 168.77 W, 240.00 W, 53
2023/03/01 10:33:19.300, NVIDIA GeForce RTX 3070, 84 %, 53 %, 8192 MiB, 7479 MiB, 169.24 W, 240.00 W, 54
2023/03/01 10:33:20.301, NVIDIA GeForce RTX 3070, 83 %, 53 %, 8192 MiB, 7479 MiB, 169.45 W, 240.00 W, 54
2023/03/01 10:33:21.303, NVIDIA GeForce RTX 3070, 83 %, 52 %, 8192 MiB, 7479 MiB, 168.15 W, 240.00 W, 54
2023/03/01 10:33:22.304, NVIDIA GeForce RTX 3070, 82 %, 53 %, 8192 MiB, 7479 MiB, 168.40 W, 240.00 W, 55
2023/03/01 10:33:23.306, NVIDIA GeForce RTX 3070, 83 %, 53 %, 8192 MiB, 7479 MiB, 167.83 W, 240.00 W, 55
2023/03/01 10:33:24.307, NVIDIA GeForce RTX 3070, 80 %, 51 %, 8192 MiB, 7479 MiB, 168.04 W, 240.00 W, 55
2023/03/01 10:33:25.308, NVIDIA GeForce RTX 3070, 82 %, 52 %, 8192 MiB, 7479 MiB, 168.09 W, 240.00 W, 55
2023/03/01 10:33:26.310, NVIDIA GeForce RTX 3070, 79 %, 50 %, 8192 MiB, 7479 MiB, 167.60 W, 240.00 W, 56
2023/03/01 10:33:27.311, NVIDIA GeForce RTX 3070, 81 %, 52 %, 8192 MiB, 7479 MiB, 168.28 W, 240.00 W, 56
2023/03/01 10:33:28.312, NVIDIA GeForce RTX 3070, 82 %, 52 %, 8192 MiB, 7479 MiB, 169.56 W, 240.00 W, 56
2023/03/01 10:33:29.314, NVIDIA GeForce RTX 3070, 84 %, 54 %, 8192 MiB, 7479 MiB, 170.06 W, 240.00 W, 56
2023/03/01 10:33:30.315, NVIDIA GeForce RTX 3070, 83 %, 53 %, 8192 MiB, 7479 MiB, 170.65 W, 240.00 W, 56
