timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], power.draw [W], power.max_limit [W], temperature.gpu
2023/02/22 11:27:34.218, NVIDIA GeForce RTX 3070, 0 %, 64 %, 8192 MiB, 7393 MiB, 22.55 W, 240.00 W, 40
2023/02/22 11:27:35.221, NVIDIA GeForce RTX 3070, 0 %, 52 %, 8192 MiB, 7393 MiB, 22.53 W, 240.00 W, 40
2023/02/22 11:27:36.223, NVIDIA GeForce RTX 3070, 0 %, 42 %, 8192 MiB, 7393 MiB, 22.65 W, 240.00 W, 40
2023/02/22 11:27:37.226, NVIDIA GeForce RTX 3070, 0 %, 45 %, 8192 MiB, 7393 MiB, 22.67 W, 240.00 W, 40
2023/02/22 11:27:38.228, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7393 MiB, 33.33 W, 240.00 W, 42
2023/02/22 11:27:39.229, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7393 MiB, 54.72 W, 240.00 W, 42
2023/02/22 11:27:40.231, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7393 MiB, 54.77 W, 240.00 W, 42
2023/02/22 11:27:41.232, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7393 MiB, 54.84 W, 240.00 W, 42
2023/02/22 11:27:42.233, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7393 MiB, 54.83 W, 240.00 W, 42
2023/02/22 11:27:43.235, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7393 MiB, 54.82 W, 240.00 W, 42
2023/02/22 11:27:44.236, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7393 MiB, 54.82 W, 240.00 W, 42
2023/02/22 11:27:45.237, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7393 MiB, 54.79 W, 240.00 W, 42
2023/02/22 11:27:46.238, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7393 MiB, 54.81 W, 240.00 W, 43
2023/02/22 11:27:47.239, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7393 MiB, 54.84 W, 240.00 W, 43
2023/02/22 11:27:48.241, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7393 MiB, 54.83 W, 240.00 W, 43
2023/02/22 11:27:49.242, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7393 MiB, 54.77 W, 240.00 W, 43
