timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], power.draw [W], power.max_limit [W], temperature.gpu
2023/02/20 16:24:55.115, NVIDIA GeForce RTX 3070, 0 %, 36 %, 8192 MiB, 7475 MiB, 22.31 W, 240.00 W, 40
2023/02/20 16:24:56.119, NVIDIA GeForce RTX 3070, 0 %, 39 %, 8192 MiB, 7475 MiB, 22.33 W, 240.00 W, 40
2023/02/20 16:24:57.123, NVIDIA GeForce RTX 3070, 0 %, 42 %, 8192 MiB, 7475 MiB, 22.37 W, 240.00 W, 39
2023/02/20 16:24:58.127, NVIDIA GeForce RTX 3070, 0 %, 47 %, 8192 MiB, 7475 MiB, 22.38 W, 240.00 W, 40
2023/02/20 16:24:59.131, NVIDIA GeForce RTX 3070, 1 %, 0 %, 8192 MiB, 7475 MiB, 35.92 W, 240.00 W, 41
2023/02/20 16:25:00.133, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7475 MiB, 54.89 W, 240.00 W, 42
2023/02/20 16:25:01.134, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7475 MiB, 54.97 W, 240.00 W, 42
2023/02/20 16:25:02.136, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7475 MiB, 55.01 W, 240.00 W, 42
2023/02/20 16:25:03.138, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7475 MiB, 54.97 W, 240.00 W, 42
2023/02/20 16:25:04.140, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7475 MiB, 55.01 W, 240.00 W, 42
2023/02/20 16:25:05.141, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7475 MiB, 54.94 W, 240.00 W, 42
2023/02/20 16:25:06.143, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7475 MiB, 54.95 W, 240.00 W, 42
2023/02/20 16:25:07.148, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7475 MiB, 54.93 W, 240.00 W, 42
2023/02/20 16:25:08.150, NVIDIA GeForce RTX 3070, 1 %, 0 %, 8192 MiB, 7475 MiB, 55.07 W, 240.00 W, 42
2023/02/20 16:25:09.152, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7475 MiB, 55.05 W, 240.00 W, 43
2023/02/20 16:25:10.153, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7475 MiB, 55.05 W, 240.00 W, 43
2023/02/20 16:25:11.155, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7475 MiB, 55.07 W, 240.00 W, 43
2023/02/20 16:25:12.157, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7475 MiB, 55.13 W, 240.00 W, 43
2023/02/20 16:25:13.159, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7475 MiB, 55.18 W, 240.00 W, 43
2023/02/20 16:25:14.161, NVIDIA GeForce RTX 3070, 57 %, 30 %, 8192 MiB, 7475 MiB, 63.02 W, 240.00 W, 45
2023/02/20 16:25:15.163, NVIDIA GeForce RTX 3070, 53 %, 30 %, 8192 MiB, 7475 MiB, 116.09 W, 240.00 W, 48
2023/02/20 16:25:16.165, NVIDIA GeForce RTX 3070, 52 %, 30 %, 8192 MiB, 7475 MiB, 117.97 W, 240.00 W, 49
2023/02/20 16:25:17.167, NVIDIA GeForce RTX 3070, 52 %, 30 %, 8192 MiB, 7475 MiB, 119.15 W, 240.00 W, 49
2023/02/20 16:25:18.169, NVIDIA GeForce RTX 3070, 55 %, 31 %, 8192 MiB, 7475 MiB, 119.71 W, 240.00 W, 50
