timestamp,gpu_name,gpu_usage,gpu_memory_usage,gpu_total_memory,gpu_memory_used,gpu_power_draw,gpu_max_power,gpu_temperature
2023-01-21 12:21:12.418,NVIDIA GeForce RTX 3070,0 %,2 %,8192 MiB,7131 MiB,21.27 W,240.00 W,36
2023-01-21 12:21:13.420,NVIDIA GeForce RTX 3070,0 %,2 %,8192 MiB,7131 MiB,21.30 W,240.00 W,36
2023-01-21 12:21:14.423,NVIDIA GeForce RTX 3070,0 %,10 %,8192 MiB,7131 MiB,21.38 W,240.00 W,36
2023-01-21 12:21:15.425,NVIDIA GeForce RTX 3070,0 %,2 %,8192 MiB,7131 MiB,21.81 W,240.00 W,36
2023-01-21 12:21:16.427,NVIDIA GeForce RTX 3070,0 %,0 %,8192 MiB,7131 MiB,44.17 W,240.00 W,37
2023-01-21 12:21:17.428,NVIDIA GeForce RTX 3070,0 %,0 %,8192 MiB,7131 MiB,53.72 W,240.00 W,37
2023-01-21 12:21:18.430,NVIDIA GeForce RTX 3070,0 %,0 %,8192 MiB,7131 MiB,53.73 W,240.00 W,38
2023-01-21 12:21:19.431,NVIDIA GeForce RTX 3070,0 %,0 %,8192 MiB,7131 MiB,53.78 W,240.00 W,38
2023-01-21 12:21:20.432,NVIDIA GeForce RTX 3070,0 %,0 %,8192 MiB,7131 MiB,53.84 W,240.00 W,38
2023-01-21 12:21:21.433,NVIDIA GeForce RTX 3070,1 %,0 %,8192 MiB,7131 MiB,53.89 W,240.00 W,38
2023-01-21 12:21:22.434,NVIDIA GeForce RTX 3070,0 %,0 %,8192 MiB,7131 MiB,53.80 W,240.00 W,38
2023-01-21 12:21:23.435,NVIDIA GeForce RTX 3070,41 %,25 %,8192 MiB,7131 MiB,67.76 W,240.00 W,41
2023-01-21 12:21:24.437,NVIDIA GeForce RTX 3070,43 %,26 %,8192 MiB,7131 MiB,101.07 W,240.00 W,42
2023-01-21 12:21:25.438,NVIDIA GeForce RTX 3070,41 %,25 %,8192 MiB,7131 MiB,102.36 W,240.00 W,42
2023-01-21 12:21:26.439,NVIDIA GeForce RTX 3070,46 %,29 %,8192 MiB,7131 MiB,102.96 W,240.00 W,43
2023-01-21 12:21:27.440,NVIDIA GeForce RTX 3070,44 %,28 %,8192 MiB,7131 MiB,105.11 W,240.00 W,43
2023-01-21 12:21:28.442,NVIDIA GeForce RTX 3070,44 %,28 %,8192 MiB,7131 MiB,104.04 W,240.00 W,44
2023-01-21 12:21:29.443,NVIDIA GeForce RTX 3070,43 %,26 %,8192 MiB,7131 MiB,103.70 W,240.00 W,44
2023-01-21 12:21:30.445,NVIDIA GeForce RTX 3070,0 %,0 %,8192 MiB,7131 MiB,96.55 W,240.00 W,42
2023-01-21 12:21:31.446,NVIDIA GeForce RTX 3070,67 %,47 %,8192 MiB,7131 MiB,109.08 W,240.00 W,46
2023-01-21 12:21:32.447,NVIDIA GeForce RTX 3070,50 %,35 %,8192 MiB,7131 MiB,131.31 W,240.00 W,44
2023-01-21 12:21:33.448,NVIDIA GeForce RTX 3070,42 %,26 %,8192 MiB,7131 MiB,94.57 W,240.00 W,45
2023-01-21 12:21:34.449,NVIDIA GeForce RTX 3070,44 %,28 %,8192 MiB,7131 MiB,104.26 W,240.00 W,45
2023-01-21 12:21:35.451,NVIDIA GeForce RTX 3070,43 %,26 %,8192 MiB,7131 MiB,103.73 W,240.00 W,45
2023-01-21 12:21:36.452,NVIDIA GeForce RTX 3070,43 %,27 %,8192 MiB,7131 MiB,103.49 W,240.00 W,46
2023-01-21 12:21:37.453,NVIDIA GeForce RTX 3070,43 %,27 %,8192 MiB,7131 MiB,105.24 W,240.00 W,46
2023-01-21 12:21:38.454,NVIDIA GeForce RTX 3070,43 %,27 %,8192 MiB,7131 MiB,104.56 W,240.00 W,46
2023-01-21 12:21:39.456,NVIDIA GeForce RTX 3070,42 %,26 %,8192 MiB,7131 MiB,104.56 W,240.00 W,46
2023-01-21 12:21:40.457,NVIDIA GeForce RTX 3070,61 %,43 %,8192 MiB,7131 MiB,115.38 W,240.00 W,48
2023-01-21 12:21:41.458,NVIDIA GeForce RTX 3070,61 %,43 %,8192 MiB,7131 MiB,127.25 W,240.00 W,49
2023-01-21 12:21:42.460,NVIDIA GeForce RTX 3070,43 %,27 %,8192 MiB,7131 MiB,112.14 W,240.00 W,47
2023-01-21 12:21:43.461,NVIDIA GeForce RTX 3070,44 %,27 %,8192 MiB,7131 MiB,103.91 W,240.00 W,47
2023-01-21 12:21:44.462,NVIDIA GeForce RTX 3070,44 %,28 %,8192 MiB,7131 MiB,104.10 W,240.00 W,48
2023-01-21 12:21:45.464,NVIDIA GeForce RTX 3070,44 %,28 %,8192 MiB,7131 MiB,106.01 W,240.00 W,48
2023-01-21 12:21:46.465,NVIDIA GeForce RTX 3070,43 %,26 %,8192 MiB,7131 MiB,105.26 W,240.00 W,48
2023-01-21 12:21:47.466,NVIDIA GeForce RTX 3070,46 %,29 %,8192 MiB,7131 MiB,105.22 W,240.00 W,48
2023-01-21 12:21:48.468,NVIDIA GeForce RTX 3070,48 %,30 %,8192 MiB,7131 MiB,106.95 W,240.00 W,49
2023-01-21 12:21:49.469,NVIDIA GeForce RTX 3070,63 %,44 %,8192 MiB,7131 MiB,110.46 W,240.00 W,50
2023-01-21 12:21:50.470,NVIDIA GeForce RTX 3070,58 %,41 %,8192 MiB,7131 MiB,125.98 W,240.00 W,51
2023-01-21 12:21:51.472,NVIDIA GeForce RTX 3070,40 %,25 %,8192 MiB,7131 MiB,118.96 W,240.00 W,49
2023-01-21 12:21:52.473,NVIDIA GeForce RTX 3070,43 %,26 %,8192 MiB,7131 MiB,104.74 W,240.00 W,50
2023-01-21 12:21:53.474,NVIDIA GeForce RTX 3070,41 %,25 %,8192 MiB,7131 MiB,106.25 W,240.00 W,50
2023-01-21 12:21:54.476,NVIDIA GeForce RTX 3070,43 %,27 %,8192 MiB,7131 MiB,108.14 W,240.00 W,50
2023-01-21 12:21:55.478,NVIDIA GeForce RTX 3070,43 %,26 %,8192 MiB,7131 MiB,106.98 W,240.00 W,50
2023-01-21 12:21:56.480,NVIDIA GeForce RTX 3070,42 %,27 %,8192 MiB,7131 MiB,106.77 W,240.00 W,51
2023-01-21 12:21:57.481,NVIDIA GeForce RTX 3070,43 %,27 %,8192 MiB,7131 MiB,106.89 W,240.00 W,51
2023-01-21 12:21:58.483,NVIDIA GeForce RTX 3070,52 %,34 %,8192 MiB,7131 MiB,107.61 W,240.00 W,52
2023-01-21 12:21:59.484,NVIDIA GeForce RTX 3070,67 %,48 %,8192 MiB,7131 MiB,136.33 W,240.00 W,54
2023-01-21 12:22:00.486,NVIDIA GeForce RTX 3070,44 %,28 %,8192 MiB,7131 MiB,126.06 W,240.00 W,52
2023-01-21 12:22:01.487,NVIDIA GeForce RTX 3070,43 %,27 %,8192 MiB,7131 MiB,108.08 W,240.00 W,52
2023-01-21 12:22:02.489,NVIDIA GeForce RTX 3070,46 %,29 %,8192 MiB,7131 MiB,107.13 W,240.00 W,52
2023-01-21 12:22:03.490,NVIDIA GeForce RTX 3070,44 %,28 %,8192 MiB,7131 MiB,107.02 W,240.00 W,51
2023-01-21 12:22:04.491,NVIDIA GeForce RTX 3070,42 %,26 %,8192 MiB,7131 MiB,106.15 W,240.00 W,52
