timestamp,cpu usage (%),memory usage (MB),temperature (Celsius)
2023-03-08T13:11:36.425551,0.0,11045.145,25.75
2023-03-08T13:11:37.435717,2.816,11047.629,26.25
2023-03-08T13:11:38.442413,2.019,11061.75,26.25
2023-03-08T13:11:39.446798,2.55,11065.281,26.75
2023-03-08T13:11:40.453486,0.156,11065.754,25.875
2023-03-08T13:11:41.460175,0.309,11064.758,25.875
2023-03-08T13:11:42.466848,0.528,11067.219,26.0
2023-03-08T13:11:43.473587,0.156,11068.105,26.0
2023-03-08T13:11:44.480002,0.622,11070.301,26.0
2023-03-08T13:11:45.486823,1.491,11071.172,26.375
2023-03-08T13:11:46.493823,3.134,11074.762,27.375
2023-03-08T13:11:47.500787,3.072,11074.887,27.25
2023-03-08T13:11:48.507732,2.856,11141.16,27.25
2023-03-08T13:11:49.514603,5.897,11203.012,27.0
2023-03-08T13:11:50.518916,6.969,11249.168,27.0
2023-03-08T13:11:51.524738,7.116,11189.453,27.0
2023-03-08T13:11:52.529068,6.969,11231.215,27.0
2023-03-08T13:11:53.535547,7.016,11208.871,27.125
2023-03-08T13:11:54.542248,7.047,11219.238,27.125
2023-03-08T13:11:55.546585,6.566,11229.43,27.25
2023-03-08T13:11:56.550983,7.156,11213.641,27.25
2023-03-08T13:11:57.555406,6.659,11198.176,27.25
2023-03-08T13:11:58.561067,6.869,11249.758,27.375
2023-03-08T13:11:59.564734,6.944,11213.113,27.375
2023-03-08T13:12:00.568218,4.797,11189.488,28.125
2023-03-08T13:12:01.575129,5.897,11190.211,27.75
2023-03-08T13:12:02.581673,7.141,11190.215,27.75
2023-03-08T13:12:03.587150,6.9,11190.227,27.5
2023-03-08T13:12:04.592483,6.931,11190.379,27.5
2023-03-08T13:12:05.598068,7.116,11190.391,27.5
2023-03-08T13:12:06.603888,6.463,11209.113,27.5
2023-03-08T13:12:07.608124,7.062,11213.492,27.5
2023-03-08T13:12:08.611715,7.069,11257.562,27.75
2023-03-08T13:12:09.615687,6.753,11209.324,27.75
2023-03-08T13:12:10.620096,7.219,11214.371,27.875
2023-03-08T13:12:11.625267,7.119,11232.695,27.875
2023-03-08T13:12:12.629598,7.156,11244.449,28.125
2023-03-08T13:12:13.635464,7.116,11238.367,28.125
2023-03-08T13:12:14.642237,7.078,11196.914,28.125
2023-03-08T13:12:15.648085,6.709,11238.754,28.25
2023-03-08T13:12:16.653807,7.022,11204.035,28.25
2023-03-08T13:12:17.658772,6.934,11238.656,28.25
2023-03-08T13:12:18.662173,7.006,11235.23,28.25
2023-03-08T13:12:19.667697,7.459,11235.387,28.25
2023-03-08T13:12:20.672619,7.153,11235.473,28.25
2023-03-08T13:12:21.678154,7.272,11235.473,28.25
2023-03-08T13:12:22.683720,7.209,11235.594,28.25
2023-03-08T13:12:23.689492,7.022,11241.262,28.25
2023-03-08T13:12:24.693881,6.812,11205.422,28.25
2023-03-08T13:12:25.700084,7.175,11241.766,28.25
2023-03-08T13:12:26.705991,7.144,11247.344,28.25
2023-03-08T13:12:27.710838,7.059,11223.848,28.375
2023-03-08T13:12:28.716843,7.05,11229.82,28.5
2023-03-08T13:12:29.722687,6.65,11241.664,28.5
2023-03-08T13:12:30.727678,6.934,11217.332,28.625
2023-03-08T13:12:31.731685,7.128,11235.664,28.625
2023-03-08T13:12:32.735694,7.128,11253.391,28.75
2023-03-08T13:12:33.742273,6.706,11253.402,28.75
2023-03-08T13:12:34.747694,7.213,11212.059,28.75
2023-03-08T13:12:35.753519,7.425,11212.199,28.75
2023-03-08T13:12:36.758513,7.275,11212.207,28.75
2023-03-08T13:12:37.764314,7.272,11212.207,28.5
2023-03-08T13:12:38.767693,7.287,11212.207,28.5
2023-03-08T13:12:39.773597,6.803,11248.062,28.5
2023-03-08T13:12:40.778056,6.906,11272.25,28.5
2023-03-08T13:12:41.782416,7.219,11212.105,28.5
2023-03-08T13:12:42.788480,5.778,11248.781,28.5
2023-03-08T13:12:43.794543,7.019,11247.922,28.5
2023-03-08T13:12:44.798907,7.156,11229.969,28.5
2023-03-08T13:12:45.804883,6.616,11235.82,28.625
2023-03-08T13:12:46.811089,6.987,11234.887,28.75
2023-03-08T13:12:47.818156,7.169,11254.203,28.75
2023-03-08T13:12:48.822458,7.0,11242.441,28.75
2023-03-08T13:12:49.827703,7.025,11224.191,28.875
2023-03-08T13:12:50.831499,7.128,11247.977,29.125
2023-03-08T13:12:51.837162,6.963,11242.238,29.0
2023-03-08T13:12:52.842610,7.459,11242.238,29.0
2023-03-08T13:12:53.847692,7.306,11242.258,28.875
2023-03-08T13:12:54.851693,7.378,11242.289,28.875
2023-03-08T13:12:55.857477,7.272,11242.441,28.875
2023-03-08T13:12:56.863350,5.622,11238.684,28.875
2023-03-08T13:12:57.870542,7.197,11236.281,28.875
2023-03-08T13:12:58.876470,6.991,11254.312,29.0
2023-03-08T13:12:59.882438,5.559,11248.34,29.0
2023-03-08T13:13:00.887699,5.503,11242.281,29.0
2023-03-08T13:13:01.891694,7.097,11260.293,29.375
2023-03-08T13:13:02.895927,6.941,11261.391,29.375
2023-03-08T13:13:03.901504,7.116,11242.09,29.375
2023-03-08T13:13:04.906470,6.997,11248.363,29.375
2023-03-08T13:13:05.913596,6.981,11230.168,29.375
2023-03-08T13:13:06.919692,7.05,11230.094,29.375
2023-03-08T13:13:07.923702,7.034,11242.426,29.375
2023-03-08T13:13:08.927701,7.034,11254.312,29.25
2023-03-08T13:13:09.933211,7.459,11254.324,29.25
2023-03-08T13:13:10.938948,7.394,11254.344,29.25
2023-03-08T13:13:11.943721,7.216,11254.344,29.25
2023-03-08T13:13:12.949402,7.303,11254.344,29.25
2023-03-08T13:13:13.954720,6.994,11224.328,29.25
2023-03-08T13:13:14.959696,7.275,11248.363,29.25
2023-03-08T13:13:15.965725,6.866,11236.41,29.25
2023-03-08T13:13:16.971711,6.928,11230.395,29.25
2023-03-08T13:13:17.978576,6.922,11233.402,29.25
2023-03-08T13:13:18.982889,7.094,11236.016,29.25
2023-03-08T13:13:19.988791,5.591,11227.898,29.25
2023-03-08T13:13:20.994544,6.991,11248.41,29.25
2023-03-08T13:13:22.000421,6.959,11212.152,29.25
2023-03-08T13:13:23.006236,6.959,11206.543,29.25
2023-03-08T13:13:24.010490,6.969,11260.438,29.375
2023-03-08T13:13:25.015689,7.056,11254.758,29.375
2023-03-08T13:13:26.019684,7.5,11254.789,29.375
2023-03-08T13:13:27.023691,7.191,11254.824,29.375
2023-03-08T13:13:28.029381,7.272,11254.824,29.375
