timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], power.draw [W], power.max_limit [W], temperature.gpu
2023/03/09 05:55:50.880, NVIDIA GeForce RTX 3090, 58 %, 31 %, 24268 MiB, 23655 MiB, 277.24 W, 350.00 W, 53
2023/03/09 05:55:51.882, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 275.60 W, 350.00 W, 52
2023/03/09 05:55:52.884, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 276.78 W, 350.00 W, 54
2023/03/09 05:55:53.887, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 279.75 W, 350.00 W, 54
2023/03/09 05:55:54.889, NVIDIA GeForce RTX 3090, 58 %, 32 %, 24268 MiB, 23655 MiB, 278.05 W, 350.00 W, 53
2023/03/09 05:55:55.891, NVIDIA GeForce RTX 3090, 51 %, 28 %, 24268 MiB, 23655 MiB, 277.38 W, 350.00 W, 54
2023/03/09 05:55:56.894, NVIDIA GeForce RTX 3090, 57 %, 31 %, 24268 MiB, 23655 MiB, 278.23 W, 350.00 W, 54
2023/03/09 05:55:57.895, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 275.35 W, 350.00 W, 55
2023/03/09 05:55:58.896, NVIDIA GeForce RTX 3090, 59 %, 32 %, 24268 MiB, 23655 MiB, 282.63 W, 350.00 W, 56
2023/03/09 05:55:59.897, NVIDIA GeForce RTX 3090, 76 %, 41 %, 24268 MiB, 23655 MiB, 328.31 W, 350.00 W, 56
2023/03/09 05:56:00.898, NVIDIA GeForce RTX 3090, 75 %, 41 %, 24268 MiB, 23655 MiB, 326.61 W, 350.00 W, 56
2023/03/09 05:56:01.899, NVIDIA GeForce RTX 3090, 76 %, 42 %, 24268 MiB, 23655 MiB, 326.75 W, 350.00 W, 57
2023/03/09 05:56:02.900, NVIDIA GeForce RTX 3090, 52 %, 28 %, 24268 MiB, 23655 MiB, 274.94 W, 350.00 W, 56
2023/03/09 05:56:03.901, NVIDIA GeForce RTX 3090, 54 %, 30 %, 24268 MiB, 23655 MiB, 278.58 W, 350.00 W, 56
2023/03/09 05:56:04.902, NVIDIA GeForce RTX 3090, 58 %, 31 %, 24268 MiB, 23655 MiB, 278.04 W, 350.00 W, 56
2023/03/09 05:56:05.904, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 277.63 W, 350.00 W, 56
2023/03/09 05:56:06.905, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 275.61 W, 350.00 W, 57
2023/03/09 05:56:07.906, NVIDIA GeForce RTX 3090, 53 %, 29 %, 24268 MiB, 23655 MiB, 278.03 W, 350.00 W, 56
2023/03/09 05:56:08.907, NVIDIA GeForce RTX 3090, 54 %, 29 %, 24268 MiB, 23655 MiB, 275.89 W, 350.00 W, 57
2023/03/09 05:56:09.909, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 282.77 W, 350.00 W, 57
2023/03/09 05:56:10.910, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 277.06 W, 350.00 W, 57
2023/03/09 05:56:11.911, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 278.54 W, 350.00 W, 57
2023/03/09 05:56:12.912, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 275.33 W, 350.00 W, 57
2023/03/09 05:56:13.914, NVIDIA GeForce RTX 3090, 75 %, 41 %, 24268 MiB, 23655 MiB, 312.37 W, 350.00 W, 59
2023/03/09 05:56:14.915, NVIDIA GeForce RTX 3090, 75 %, 41 %, 24268 MiB, 23655 MiB, 330.53 W, 350.00 W, 59
2023/03/09 05:56:15.916, NVIDIA GeForce RTX 3090, 75 %, 41 %, 24268 MiB, 23655 MiB, 332.23 W, 350.00 W, 59
2023/03/09 05:56:16.918, NVIDIA GeForce RTX 3090, 49 %, 26 %, 24268 MiB, 23655 MiB, 314.33 W, 350.00 W, 58
2023/03/09 05:56:17.919, NVIDIA GeForce RTX 3090, 54 %, 29 %, 24268 MiB, 23655 MiB, 280.43 W, 350.00 W, 58
2023/03/09 05:56:18.920, NVIDIA GeForce RTX 3090, 53 %, 28 %, 24268 MiB, 23655 MiB, 279.85 W, 350.00 W, 58
2023/03/09 05:56:19.922, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 278.40 W, 350.00 W, 59
2023/03/09 05:56:20.924, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 284.44 W, 350.00 W, 59
2023/03/09 05:56:21.926, NVIDIA GeForce RTX 3090, 57 %, 31 %, 24268 MiB, 23655 MiB, 281.14 W, 350.00 W, 59
2023/03/09 05:56:22.927, NVIDIA GeForce RTX 3090, 57 %, 31 %, 24268 MiB, 23655 MiB, 282.05 W, 350.00 W, 59
2023/03/09 05:56:23.929, NVIDIA GeForce RTX 3090, 58 %, 32 %, 24268 MiB, 23655 MiB, 279.94 W, 350.00 W, 59
2023/03/09 05:56:24.930, NVIDIA GeForce RTX 3090, 52 %, 28 %, 24268 MiB, 23655 MiB, 283.88 W, 350.00 W, 59
2023/03/09 05:56:25.933, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 279.52 W, 350.00 W, 59
2023/03/09 05:56:26.934, NVIDIA GeForce RTX 3090, 57 %, 31 %, 24268 MiB, 23655 MiB, 285.37 W, 350.00 W, 59
2023/03/09 05:56:27.936, NVIDIA GeForce RTX 3090, 58 %, 32 %, 24268 MiB, 23655 MiB, 286.65 W, 350.00 W, 60
2023/03/09 05:56:28.937, NVIDIA GeForce RTX 3090, 76 %, 41 %, 24268 MiB, 23655 MiB, 335.91 W, 350.00 W, 61
2023/03/09 05:56:29.939, NVIDIA GeForce RTX 3090, 76 %, 41 %, 24268 MiB, 23655 MiB, 334.02 W, 350.00 W, 61
2023/03/09 05:56:30.940, NVIDIA GeForce RTX 3090, 77 %, 42 %, 24268 MiB, 23655 MiB, 333.30 W, 350.00 W, 62
2023/03/09 05:56:31.942, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 288.26 W, 350.00 W, 60
2023/03/09 05:56:32.943, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 278.65 W, 350.00 W, 60
2023/03/09 05:56:33.945, NVIDIA GeForce RTX 3090, 52 %, 28 %, 24268 MiB, 23655 MiB, 277.53 W, 350.00 W, 60
2023/03/09 05:56:34.946, NVIDIA GeForce RTX 3090, 54 %, 29 %, 24268 MiB, 23655 MiB, 280.85 W, 350.00 W, 60
2023/03/09 05:56:35.948, NVIDIA GeForce RTX 3090, 58 %, 32 %, 24268 MiB, 23655 MiB, 279.74 W, 350.00 W, 60
2023/03/09 05:56:36.949, NVIDIA GeForce RTX 3090, 52 %, 28 %, 24268 MiB, 23655 MiB, 281.71 W, 350.00 W, 60
2023/03/09 05:56:37.951, NVIDIA GeForce RTX 3090, 53 %, 29 %, 24268 MiB, 23655 MiB, 280.02 W, 350.00 W, 60
2023/03/09 05:56:38.952, NVIDIA GeForce RTX 3090, 51 %, 28 %, 24268 MiB, 23655 MiB, 276.55 W, 350.00 W, 60
2023/03/09 05:56:39.954, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 281.16 W, 350.00 W, 60
2023/03/09 05:56:40.955, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 284.04 W, 350.00 W, 61
2023/03/09 05:56:41.957, NVIDIA GeForce RTX 3090, 58 %, 31 %, 24268 MiB, 23655 MiB, 284.01 W, 350.00 W, 60
2023/03/09 05:56:42.958, NVIDIA GeForce RTX 3090, 76 %, 42 %, 24268 MiB, 23655 MiB, 314.42 W, 350.00 W, 62
2023/03/09 05:56:43.960, NVIDIA GeForce RTX 3090, 75 %, 41 %, 24268 MiB, 23655 MiB, 335.28 W, 350.00 W, 62
2023/03/09 05:56:44.962, NVIDIA GeForce RTX 3090, 76 %, 41 %, 24268 MiB, 23655 MiB, 335.91 W, 350.00 W, 62
2023/03/09 05:56:45.963, NVIDIA GeForce RTX 3090, 40 %, 21 %, 24268 MiB, 23655 MiB, 319.51 W, 350.00 W, 61
2023/03/09 05:56:46.966, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 281.12 W, 350.00 W, 61
2023/03/09 05:56:47.967, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 281.23 W, 350.00 W, 61
2023/03/09 05:56:48.969, NVIDIA GeForce RTX 3090, 58 %, 31 %, 24268 MiB, 23655 MiB, 283.26 W, 350.00 W, 61
2023/03/09 05:56:49.971, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 283.31 W, 350.00 W, 61
2023/03/09 05:56:50.973, NVIDIA GeForce RTX 3090, 53 %, 28 %, 24268 MiB, 23655 MiB, 283.20 W, 350.00 W, 61
2023/03/09 05:56:51.975, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 279.20 W, 350.00 W, 61
2023/03/09 05:56:52.976, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 284.14 W, 350.00 W, 61
2023/03/09 05:56:53.978, NVIDIA GeForce RTX 3090, 57 %, 31 %, 24268 MiB, 23655 MiB, 282.09 W, 350.00 W, 61
2023/03/09 05:56:54.980, NVIDIA GeForce RTX 3090, 58 %, 31 %, 24268 MiB, 23655 MiB, 282.56 W, 350.00 W, 61
2023/03/09 05:56:55.981, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 282.39 W, 350.00 W, 61
2023/03/09 05:56:56.984, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 281.02 W, 350.00 W, 62
2023/03/09 05:56:57.986, NVIDIA GeForce RTX 3090, 77 %, 42 %, 24268 MiB, 23655 MiB, 333.14 W, 350.00 W, 62
2023/03/09 05:56:58.987, NVIDIA GeForce RTX 3090, 77 %, 42 %, 24268 MiB, 23655 MiB, 336.53 W, 350.00 W, 63
2023/03/09 05:56:59.990, NVIDIA GeForce RTX 3090, 76 %, 41 %, 24268 MiB, 23655 MiB, 335.80 W, 350.00 W, 63
2023/03/09 05:57:00.991, NVIDIA GeForce RTX 3090, 54 %, 29 %, 24268 MiB, 23655 MiB, 295.05 W, 350.00 W, 61
2023/03/09 05:57:01.993, NVIDIA GeForce RTX 3090, 52 %, 28 %, 24268 MiB, 23655 MiB, 283.90 W, 350.00 W, 61
2023/03/09 05:57:02.995, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 284.34 W, 350.00 W, 62
2023/03/09 05:57:03.997, NVIDIA GeForce RTX 3090, 57 %, 31 %, 24268 MiB, 23655 MiB, 284.38 W, 350.00 W, 61
2023/03/09 05:57:04.999, NVIDIA GeForce RTX 3090, 54 %, 29 %, 24268 MiB, 23655 MiB, 284.96 W, 350.00 W, 62
2023/03/09 05:57:06.000, NVIDIA GeForce RTX 3090, 53 %, 28 %, 24268 MiB, 23655 MiB, 281.71 W, 350.00 W, 62
2023/03/09 05:57:07.002, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 286.55 W, 350.00 W, 61
2023/03/09 05:57:08.004, NVIDIA GeForce RTX 3090, 56 %, 31 %, 24268 MiB, 23655 MiB, 285.49 W, 350.00 W, 61
2023/03/09 05:57:09.006, NVIDIA GeForce RTX 3090, 52 %, 28 %, 24268 MiB, 23655 MiB, 282.18 W, 350.00 W, 61
2023/03/09 05:57:10.008, NVIDIA GeForce RTX 3090, 52 %, 28 %, 24268 MiB, 23655 MiB, 276.70 W, 350.00 W, 62
2023/03/09 05:57:11.010, NVIDIA GeForce RTX 3090, 49 %, 26 %, 24268 MiB, 23655 MiB, 280.16 W, 350.00 W, 61
2023/03/09 05:57:12.012, NVIDIA GeForce RTX 3090, 76 %, 41 %, 24268 MiB, 23655 MiB, 302.33 W, 350.00 W, 63
2023/03/09 05:57:13.014, NVIDIA GeForce RTX 3090, 76 %, 42 %, 24268 MiB, 23655 MiB, 337.65 W, 350.00 W, 63
2023/03/09 05:57:14.016, NVIDIA GeForce RTX 3090, 75 %, 41 %, 24268 MiB, 23655 MiB, 336.38 W, 350.00 W, 63
2023/03/09 05:57:15.018, NVIDIA GeForce RTX 3090, 76 %, 41 %, 24268 MiB, 23655 MiB, 336.76 W, 350.00 W, 63
2023/03/09 05:57:16.020, NVIDIA GeForce RTX 3090, 53 %, 29 %, 24268 MiB, 23655 MiB, 271.34 W, 350.00 W, 62
2023/03/09 05:57:17.022, NVIDIA GeForce RTX 3090, 57 %, 31 %, 24268 MiB, 23655 MiB, 286.70 W, 350.00 W, 62
2023/03/09 05:57:18.024, NVIDIA GeForce RTX 3090, 60 %, 32 %, 24268 MiB, 23655 MiB, 287.00 W, 350.00 W, 62
2023/03/09 05:57:19.026, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 284.10 W, 350.00 W, 62
2023/03/09 05:57:20.028, NVIDIA GeForce RTX 3090, 52 %, 28 %, 24268 MiB, 23655 MiB, 285.94 W, 350.00 W, 62
2023/03/09 05:57:21.030, NVIDIA GeForce RTX 3090, 52 %, 28 %, 24268 MiB, 23655 MiB, 281.15 W, 350.00 W, 62
2023/03/09 05:57:22.032, NVIDIA GeForce RTX 3090, 54 %, 30 %, 24268 MiB, 23655 MiB, 276.36 W, 350.00 W, 62
2023/03/09 05:57:23.034, NVIDIA GeForce RTX 3090, 58 %, 31 %, 24268 MiB, 23655 MiB, 284.00 W, 350.00 W, 62
2023/03/09 05:57:24.036, NVIDIA GeForce RTX 3090, 53 %, 28 %, 24268 MiB, 23655 MiB, 285.05 W, 350.00 W, 62
2023/03/09 05:57:25.038, NVIDIA GeForce RTX 3090, 59 %, 32 %, 24268 MiB, 23655 MiB, 283.92 W, 350.00 W, 62
2023/03/09 05:57:26.041, NVIDIA GeForce RTX 3090, 53 %, 28 %, 24268 MiB, 23655 MiB, 283.82 W, 350.00 W, 62
2023/03/09 05:57:27.043, NVIDIA GeForce RTX 3090, 75 %, 41 %, 24268 MiB, 23655 MiB, 319.62 W, 350.00 W, 63
2023/03/09 05:57:28.045, NVIDIA GeForce RTX 3090, 76 %, 42 %, 24268 MiB, 23655 MiB, 338.33 W, 350.00 W, 63
2023/03/09 05:57:29.047, NVIDIA GeForce RTX 3090, 76 %, 41 %, 24268 MiB, 23655 MiB, 336.90 W, 350.00 W, 64
2023/03/09 05:57:30.049, NVIDIA GeForce RTX 3090, 36 %, 19 %, 24268 MiB, 23655 MiB, 310.18 W, 350.00 W, 62
2023/03/09 05:57:31.051, NVIDIA GeForce RTX 3090, 54 %, 29 %, 24268 MiB, 23655 MiB, 283.62 W, 350.00 W, 62
2023/03/09 05:57:32.054, NVIDIA GeForce RTX 3090, 59 %, 32 %, 24268 MiB, 23655 MiB, 286.75 W, 350.00 W, 62
2023/03/09 05:57:33.056, NVIDIA GeForce RTX 3090, 59 %, 32 %, 24268 MiB, 23655 MiB, 285.46 W, 350.00 W, 62
2023/03/09 05:57:34.058, NVIDIA GeForce RTX 3090, 54 %, 29 %, 24268 MiB, 23655 MiB, 286.44 W, 350.00 W, 62
2023/03/09 05:57:35.060, NVIDIA GeForce RTX 3090, 58 %, 31 %, 24268 MiB, 23655 MiB, 285.49 W, 350.00 W, 63
2023/03/09 05:57:36.063, NVIDIA GeForce RTX 3090, 57 %, 31 %, 24268 MiB, 23655 MiB, 287.66 W, 350.00 W, 62
2023/03/09 05:57:37.065, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 289.04 W, 350.00 W, 62
2023/03/09 05:57:38.067, NVIDIA GeForce RTX 3090, 53 %, 28 %, 24268 MiB, 23655 MiB, 282.42 W, 350.00 W, 62
2023/03/09 05:57:39.069, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 286.03 W, 350.00 W, 62
2023/03/09 05:57:40.072, NVIDIA GeForce RTX 3090, 53 %, 29 %, 24268 MiB, 23655 MiB, 288.05 W, 350.00 W, 62
2023/03/09 05:57:41.073, NVIDIA GeForce RTX 3090, 75 %, 41 %, 24268 MiB, 23655 MiB, 299.04 W, 350.00 W, 63
2023/03/09 05:57:42.074, NVIDIA GeForce RTX 3090, 76 %, 41 %, 24268 MiB, 23655 MiB, 338.53 W, 350.00 W, 64
