timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], power.draw [W], power.max_limit [W], temperature.gpu
2023/03/08 22:28:48.734, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23655 MiB, 7.96 W, 350.00 W, 27
2023/03/08 22:28:49.740, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23655 MiB, 34.80 W, 350.00 W, 30
2023/03/08 22:28:50.742, NVIDIA GeForce RTX 3090, 4 %, 0 %, 24268 MiB, 23655 MiB, 104.36 W, 350.00 W, 31
2023/03/08 22:28:51.744, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23655 MiB, 104.39 W, 350.00 W, 31
2023/03/08 22:28:52.746, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23655 MiB, 104.65 W, 350.00 W, 31
2023/03/08 22:28:53.748, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23655 MiB, 104.80 W, 350.00 W, 32
2023/03/08 22:28:54.750, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23655 MiB, 104.83 W, 350.00 W, 32
2023/03/08 22:28:55.752, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23655 MiB, 104.90 W, 350.00 W, 32
2023/03/08 22:28:56.754, NVIDIA GeForce RTX 3090, 56 %, 31 %, 24268 MiB, 23655 MiB, 200.85 W, 350.00 W, 37
2023/03/08 22:28:57.756, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 254.29 W, 350.00 W, 38
2023/03/08 22:28:58.759, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 256.07 W, 350.00 W, 38
2023/03/08 22:28:59.761, NVIDIA GeForce RTX 3090, 50 %, 27 %, 24268 MiB, 23655 MiB, 254.04 W, 350.00 W, 38
2023/03/08 22:29:00.763, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 255.95 W, 350.00 W, 39
2023/03/08 22:29:01.764, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 259.38 W, 350.00 W, 40
2023/03/08 22:29:02.765, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 261.29 W, 350.00 W, 40
2023/03/08 22:29:03.766, NVIDIA GeForce RTX 3090, 53 %, 29 %, 24268 MiB, 23655 MiB, 263.32 W, 350.00 W, 41
2023/03/08 22:29:04.767, NVIDIA GeForce RTX 3090, 58 %, 31 %, 24268 MiB, 23655 MiB, 266.84 W, 350.00 W, 42
2023/03/08 22:29:05.769, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 266.22 W, 350.00 W, 42
2023/03/08 22:29:06.770, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 265.18 W, 350.00 W, 43
2023/03/08 22:29:07.771, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23655 MiB, 168.83 W, 350.00 W, 39
2023/03/08 22:29:08.772, NVIDIA GeForce RTX 3090, 76 %, 41 %, 24268 MiB, 23655 MiB, 261.99 W, 350.00 W, 45
2023/03/08 22:29:09.773, NVIDIA GeForce RTX 3090, 76 %, 41 %, 24268 MiB, 23655 MiB, 320.23 W, 350.00 W, 46
2023/03/08 22:29:10.775, NVIDIA GeForce RTX 3090, 76 %, 42 %, 24268 MiB, 23655 MiB, 321.15 W, 350.00 W, 47
2023/03/08 22:29:11.778, NVIDIA GeForce RTX 3090, 40 %, 21 %, 24268 MiB, 23655 MiB, 294.40 W, 350.00 W, 46
2023/03/08 22:29:12.779, NVIDIA GeForce RTX 3090, 52 %, 28 %, 24268 MiB, 23655 MiB, 266.70 W, 350.00 W, 46
2023/03/08 22:29:13.780, NVIDIA GeForce RTX 3090, 53 %, 29 %, 24268 MiB, 23655 MiB, 271.51 W, 350.00 W, 47
2023/03/08 22:29:14.781, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 268.46 W, 350.00 W, 46
2023/03/08 22:29:15.782, NVIDIA GeForce RTX 3090, 49 %, 27 %, 24268 MiB, 23655 MiB, 264.43 W, 350.00 W, 47
2023/03/08 22:29:16.784, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 269.20 W, 350.00 W, 48
2023/03/08 22:29:17.785, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 270.28 W, 350.00 W, 48
2023/03/08 22:29:18.787, NVIDIA GeForce RTX 3090, 54 %, 29 %, 24268 MiB, 23655 MiB, 269.59 W, 350.00 W, 48
2023/03/08 22:29:19.788, NVIDIA GeForce RTX 3090, 48 %, 26 %, 24268 MiB, 23655 MiB, 266.80 W, 350.00 W, 49
2023/03/08 22:29:20.789, NVIDIA GeForce RTX 3090, 52 %, 28 %, 24268 MiB, 23655 MiB, 267.84 W, 350.00 W, 49
2023/03/08 22:29:21.790, NVIDIA GeForce RTX 3090, 57 %, 31 %, 24268 MiB, 23655 MiB, 270.72 W, 350.00 W, 49
2023/03/08 22:29:22.792, NVIDIA GeForce RTX 3090, 52 %, 28 %, 24268 MiB, 23655 MiB, 271.32 W, 350.00 W, 51
2023/03/08 22:29:23.793, NVIDIA GeForce RTX 3090, 76 %, 42 %, 24268 MiB, 23655 MiB, 322.87 W, 350.00 W, 52
2023/03/08 22:29:24.795, NVIDIA GeForce RTX 3090, 76 %, 42 %, 24268 MiB, 23655 MiB, 323.63 W, 350.00 W, 52
2023/03/08 22:29:25.796, NVIDIA GeForce RTX 3090, 76 %, 41 %, 24268 MiB, 23655 MiB, 325.64 W, 350.00 W, 53
2023/03/08 22:29:26.797, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 281.55 W, 350.00 W, 52
2023/03/08 22:29:27.799, NVIDIA GeForce RTX 3090, 53 %, 29 %, 24268 MiB, 23655 MiB, 269.35 W, 350.00 W, 52
2023/03/08 22:29:28.800, NVIDIA GeForce RTX 3090, 54 %, 29 %, 24268 MiB, 23655 MiB, 268.09 W, 350.00 W, 52
2023/03/08 22:29:29.802, NVIDIA GeForce RTX 3090, 52 %, 28 %, 24268 MiB, 23655 MiB, 273.19 W, 350.00 W, 53
2023/03/08 22:29:30.803, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 272.33 W, 350.00 W, 53
2023/03/08 22:29:31.804, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 271.19 W, 350.00 W, 53
2023/03/08 22:29:32.806, NVIDIA GeForce RTX 3090, 48 %, 26 %, 24268 MiB, 23655 MiB, 270.81 W, 350.00 W, 53
2023/03/08 22:29:33.807, NVIDIA GeForce RTX 3090, 57 %, 31 %, 24268 MiB, 23655 MiB, 275.32 W, 350.00 W, 54
2023/03/08 22:29:34.809, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 273.43 W, 350.00 W, 54
2023/03/08 22:29:35.810, NVIDIA GeForce RTX 3090, 53 %, 29 %, 24268 MiB, 23655 MiB, 275.13 W, 350.00 W, 54
2023/03/08 22:29:36.812, NVIDIA GeForce RTX 3090, 58 %, 32 %, 24268 MiB, 23655 MiB, 274.70 W, 350.00 W, 54
2023/03/08 22:29:37.813, NVIDIA GeForce RTX 3090, 77 %, 43 %, 24268 MiB, 23655 MiB, 287.64 W, 350.00 W, 56
2023/03/08 22:29:38.815, NVIDIA GeForce RTX 3090, 77 %, 42 %, 24268 MiB, 23655 MiB, 327.66 W, 350.00 W, 56
2023/03/08 22:29:39.816, NVIDIA GeForce RTX 3090, 75 %, 41 %, 24268 MiB, 23655 MiB, 327.92 W, 350.00 W, 57
2023/03/08 22:29:40.818, NVIDIA GeForce RTX 3090, 78 %, 43 %, 24268 MiB, 23655 MiB, 328.65 W, 350.00 W, 56
2023/03/08 22:29:41.819, NVIDIA GeForce RTX 3090, 53 %, 29 %, 24268 MiB, 23655 MiB, 270.61 W, 350.00 W, 56
2023/03/08 22:29:42.821, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 270.81 W, 350.00 W, 56
2023/03/08 22:29:43.823, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 277.81 W, 350.00 W, 56
2023/03/08 22:29:44.824, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 279.40 W, 350.00 W, 57
2023/03/08 22:29:45.826, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 274.87 W, 350.00 W, 57
2023/03/08 22:29:46.827, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 276.79 W, 350.00 W, 56
2023/03/08 22:29:47.829, NVIDIA GeForce RTX 3090, 52 %, 28 %, 24268 MiB, 23655 MiB, 273.22 W, 350.00 W, 57
2023/03/08 22:29:48.831, NVIDIA GeForce RTX 3090, 56 %, 31 %, 24268 MiB, 23655 MiB, 276.72 W, 350.00 W, 57
2023/03/08 22:29:49.832, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 276.89 W, 350.00 W, 57
2023/03/08 22:29:50.834, NVIDIA GeForce RTX 3090, 55 %, 29 %, 24268 MiB, 23655 MiB, 277.95 W, 350.00 W, 57
2023/03/08 22:29:51.836, NVIDIA GeForce RTX 3090, 57 %, 31 %, 24268 MiB, 23655 MiB, 278.93 W, 350.00 W, 57
2023/03/08 22:29:52.838, NVIDIA GeForce RTX 3090, 75 %, 41 %, 24268 MiB, 23655 MiB, 310.50 W, 350.00 W, 59
2023/03/08 22:29:53.839, NVIDIA GeForce RTX 3090, 77 %, 42 %, 24268 MiB, 23655 MiB, 332.39 W, 350.00 W, 59
2023/03/08 22:29:54.841, NVIDIA GeForce RTX 3090, 76 %, 41 %, 24268 MiB, 23655 MiB, 332.42 W, 350.00 W, 60
2023/03/08 22:29:55.843, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 299.60 W, 350.00 W, 59
2023/03/08 22:29:56.845, NVIDIA GeForce RTX 3090, 54 %, 29 %, 24268 MiB, 23655 MiB, 274.92 W, 350.00 W, 58
2023/03/08 22:29:57.846, NVIDIA GeForce RTX 3090, 55 %, 29 %, 24268 MiB, 23655 MiB, 279.35 W, 350.00 W, 58
2023/03/08 22:29:58.848, NVIDIA GeForce RTX 3090, 54 %, 29 %, 24268 MiB, 23655 MiB, 278.63 W, 350.00 W, 58
2023/03/08 22:29:59.850, NVIDIA GeForce RTX 3090, 47 %, 25 %, 24268 MiB, 23655 MiB, 275.01 W, 350.00 W, 59
2023/03/08 22:30:00.852, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 281.23 W, 350.00 W, 59
2023/03/08 22:30:01.853, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 278.38 W, 350.00 W, 59
2023/03/08 22:30:02.855, NVIDIA GeForce RTX 3090, 54 %, 29 %, 24268 MiB, 23655 MiB, 278.58 W, 350.00 W, 59
2023/03/08 22:30:03.857, NVIDIA GeForce RTX 3090, 52 %, 28 %, 24268 MiB, 23655 MiB, 279.94 W, 350.00 W, 58
2023/03/08 22:30:04.860, NVIDIA GeForce RTX 3090, 54 %, 29 %, 24268 MiB, 23655 MiB, 279.01 W, 350.00 W, 59
2023/03/08 22:30:05.862, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 276.86 W, 350.00 W, 59
2023/03/08 22:30:06.864, NVIDIA GeForce RTX 3090, 61 %, 33 %, 24268 MiB, 23655 MiB, 288.24 W, 350.00 W, 60
2023/03/08 22:30:07.866, NVIDIA GeForce RTX 3090, 78 %, 42 %, 24268 MiB, 23655 MiB, 337.35 W, 350.00 W, 61
2023/03/08 22:30:08.868, NVIDIA GeForce RTX 3090, 77 %, 41 %, 24268 MiB, 23655 MiB, 334.44 W, 350.00 W, 61
2023/03/08 22:30:09.870, NVIDIA GeForce RTX 3090, 76 %, 41 %, 24268 MiB, 23655 MiB, 330.17 W, 350.00 W, 61
2023/03/08 22:30:10.872, NVIDIA GeForce RTX 3090, 53 %, 29 %, 24268 MiB, 23655 MiB, 276.07 W, 350.00 W, 60
2023/03/08 22:30:11.874, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 276.32 W, 350.00 W, 60
2023/03/08 22:30:12.876, NVIDIA GeForce RTX 3090, 55 %, 29 %, 24268 MiB, 23655 MiB, 280.20 W, 350.00 W, 60
2023/03/08 22:30:13.877, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 275.40 W, 350.00 W, 60
2023/03/08 22:30:14.880, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 273.46 W, 350.00 W, 60
