timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], power.draw [W], power.max_limit [W], temperature.gpu
2023/03/09 11:53:18.585, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23653 MiB, 7.75 W, 350.00 W, 27
2023/03/09 11:53:19.589, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23653 MiB, 58.65 W, 350.00 W, 30
2023/03/09 11:53:20.590, NVIDIA GeForce RTX 3090, 3 %, 0 %, 24268 MiB, 23653 MiB, 104.96 W, 350.00 W, 31
2023/03/09 11:53:21.592, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23653 MiB, 104.93 W, 350.00 W, 31
2023/03/09 11:53:22.594, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23653 MiB, 104.90 W, 350.00 W, 31
2023/03/09 11:53:23.595, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23653 MiB, 104.85 W, 350.00 W, 32
2023/03/09 11:53:24.597, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23653 MiB, 104.95 W, 350.00 W, 32
2023/03/09 11:53:25.598, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23653 MiB, 105.10 W, 350.00 W, 32
2023/03/09 11:53:26.600, NVIDIA GeForce RTX 3090, 48 %, 26 %, 24268 MiB, 23653 MiB, 213.76 W, 350.00 W, 37
2023/03/09 11:53:27.602, NVIDIA GeForce RTX 3090, 50 %, 27 %, 24268 MiB, 23653 MiB, 258.20 W, 350.00 W, 37
2023/03/09 11:53:28.603, NVIDIA GeForce RTX 3090, 47 %, 25 %, 24268 MiB, 23653 MiB, 257.97 W, 350.00 W, 38
2023/03/09 11:53:29.605, NVIDIA GeForce RTX 3090, 55 %, 29 %, 24268 MiB, 23653 MiB, 258.22 W, 350.00 W, 39
2023/03/09 11:53:30.607, NVIDIA GeForce RTX 3090, 55 %, 29 %, 24268 MiB, 23653 MiB, 263.45 W, 350.00 W, 39
2023/03/09 11:53:31.609, NVIDIA GeForce RTX 3090, 56 %, 29 %, 24268 MiB, 23653 MiB, 263.27 W, 350.00 W, 40
2023/03/09 11:53:32.610, NVIDIA GeForce RTX 3090, 56 %, 29 %, 24268 MiB, 23653 MiB, 261.29 W, 350.00 W, 40
2023/03/09 11:53:33.612, NVIDIA GeForce RTX 3090, 54 %, 28 %, 24268 MiB, 23653 MiB, 264.27 W, 350.00 W, 41
2023/03/09 11:53:34.614, NVIDIA GeForce RTX 3090, 55 %, 29 %, 24268 MiB, 23653 MiB, 262.78 W, 350.00 W, 42
2023/03/09 11:53:35.616, NVIDIA GeForce RTX 3090, 54 %, 29 %, 24268 MiB, 23653 MiB, 266.67 W, 350.00 W, 42
2023/03/09 11:53:36.618, NVIDIA GeForce RTX 3090, 49 %, 26 %, 24268 MiB, 23653 MiB, 262.49 W, 350.00 W, 43
2023/03/09 11:53:37.620, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23653 MiB, 203.60 W, 350.00 W, 39
2023/03/09 11:53:38.622, NVIDIA GeForce RTX 3090, 27 %, 15 %, 24268 MiB, 23653 MiB, 168.29 W, 350.00 W, 41
2023/03/09 11:53:39.624, NVIDIA GeForce RTX 3090, 22 %, 11 %, 24268 MiB, 23653 MiB, 160.51 W, 350.00 W, 40
2023/03/09 11:53:40.625, NVIDIA GeForce RTX 3090, 26 %, 12 %, 24268 MiB, 23653 MiB, 148.01 W, 350.00 W, 40
2023/03/09 11:53:41.627, NVIDIA GeForce RTX 3090, 29 %, 15 %, 24268 MiB, 23653 MiB, 147.88 W, 350.00 W, 40
2023/03/09 11:53:42.629, NVIDIA GeForce RTX 3090, 26 %, 13 %, 24268 MiB, 23653 MiB, 146.81 W, 350.00 W, 40
2023/03/09 11:53:43.632, NVIDIA GeForce RTX 3090, 27 %, 14 %, 24268 MiB, 23653 MiB, 147.09 W, 350.00 W, 41
2023/03/09 11:53:44.633, NVIDIA GeForce RTX 3090, 28 %, 13 %, 24268 MiB, 23653 MiB, 146.99 W, 350.00 W, 40
2023/03/09 11:53:45.635, NVIDIA GeForce RTX 3090, 30 %, 15 %, 24268 MiB, 23653 MiB, 149.52 W, 350.00 W, 41
2023/03/09 11:53:46.637, NVIDIA GeForce RTX 3090, 26 %, 13 %, 24268 MiB, 23653 MiB, 147.23 W, 350.00 W, 41
2023/03/09 11:53:47.639, NVIDIA GeForce RTX 3090, 28 %, 13 %, 24268 MiB, 23653 MiB, 145.95 W, 350.00 W, 41
2023/03/09 11:53:48.641, NVIDIA GeForce RTX 3090, 56 %, 27 %, 24268 MiB, 23653 MiB, 154.81 W, 350.00 W, 43
2023/03/09 11:53:49.642, NVIDIA GeForce RTX 3090, 56 %, 29 %, 24268 MiB, 23653 MiB, 267.36 W, 350.00 W, 46
2023/03/09 11:53:50.644, NVIDIA GeForce RTX 3090, 54 %, 29 %, 24268 MiB, 23653 MiB, 266.29 W, 350.00 W, 46
2023/03/09 11:53:51.647, NVIDIA GeForce RTX 3090, 56 %, 29 %, 24268 MiB, 23653 MiB, 268.86 W, 350.00 W, 47
2023/03/09 11:53:52.648, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23653 MiB, 272.17 W, 350.00 W, 47
2023/03/09 11:53:53.650, NVIDIA GeForce RTX 3090, 57 %, 30 %, 24268 MiB, 23653 MiB, 272.51 W, 350.00 W, 48
2023/03/09 11:53:54.652, NVIDIA GeForce RTX 3090, 54 %, 29 %, 24268 MiB, 23653 MiB, 271.55 W, 350.00 W, 48
2023/03/09 11:53:55.654, NVIDIA GeForce RTX 3090, 52 %, 27 %, 24268 MiB, 23653 MiB, 272.17 W, 350.00 W, 48
2023/03/09 11:53:56.656, NVIDIA GeForce RTX 3090, 56 %, 29 %, 24268 MiB, 23653 MiB, 267.88 W, 350.00 W, 49
2023/03/09 11:53:57.658, NVIDIA GeForce RTX 3090, 55 %, 29 %, 24268 MiB, 23653 MiB, 269.77 W, 350.00 W, 49
2023/03/09 11:53:58.660, NVIDIA GeForce RTX 3090, 54 %, 29 %, 24268 MiB, 23653 MiB, 270.10 W, 350.00 W, 50
2023/03/09 11:53:59.662, NVIDIA GeForce RTX 3090, 42 %, 22 %, 24268 MiB, 23653 MiB, 256.64 W, 350.00 W, 48
2023/03/09 11:54:00.664, NVIDIA GeForce RTX 3090, 27 %, 15 %, 24268 MiB, 23653 MiB, 200.24 W, 350.00 W, 48
2023/03/09 11:54:01.666, NVIDIA GeForce RTX 3090, 26 %, 12 %, 24268 MiB, 23653 MiB, 181.81 W, 350.00 W, 47
2023/03/09 11:54:02.668, NVIDIA GeForce RTX 3090, 28 %, 13 %, 24268 MiB, 23653 MiB, 148.08 W, 350.00 W, 47
2023/03/09 11:54:03.670, NVIDIA GeForce RTX 3090, 27 %, 13 %, 24268 MiB, 23653 MiB, 146.81 W, 350.00 W, 47
2023/03/09 11:54:04.672, NVIDIA GeForce RTX 3090, 27 %, 13 %, 24268 MiB, 23653 MiB, 146.96 W, 350.00 W, 47
