timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], power.draw [W], power.max_limit [W], temperature.gpu
2023/03/09 03:07:56.211, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23655 MiB, 8.57 W, 350.00 W, 27
2023/03/09 03:07:57.217, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23655 MiB, 41.61 W, 350.00 W, 30
2023/03/09 03:07:58.219, NVIDIA GeForce RTX 3090, 4 %, 0 %, 24268 MiB, 23655 MiB, 105.04 W, 350.00 W, 31
2023/03/09 03:07:59.221, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23655 MiB, 105.11 W, 350.00 W, 31
2023/03/09 03:08:00.223, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23655 MiB, 105.21 W, 350.00 W, 31
2023/03/09 03:08:01.226, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23655 MiB, 105.35 W, 350.00 W, 31
2023/03/09 03:08:02.227, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23655 MiB, 105.32 W, 350.00 W, 32
2023/03/09 03:08:03.228, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23655 MiB, 105.46 W, 350.00 W, 32
2023/03/09 03:08:04.229, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 192.52 W, 350.00 W, 36
2023/03/09 03:08:05.230, NVIDIA GeForce RTX 3090, 58 %, 31 %, 24268 MiB, 23655 MiB, 259.48 W, 350.00 W, 37
2023/03/09 03:08:06.231, NVIDIA GeForce RTX 3090, 51 %, 28 %, 24268 MiB, 23655 MiB, 259.11 W, 350.00 W, 38
2023/03/09 03:08:07.233, NVIDIA GeForce RTX 3090, 50 %, 27 %, 24268 MiB, 23655 MiB, 260.13 W, 350.00 W, 38
2023/03/09 03:08:08.234, NVIDIA GeForce RTX 3090, 53 %, 29 %, 24268 MiB, 23655 MiB, 258.74 W, 350.00 W, 39
2023/03/09 03:08:09.235, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 260.51 W, 350.00 W, 40
2023/03/09 03:08:10.236, NVIDIA GeForce RTX 3090, 57 %, 31 %, 24268 MiB, 23655 MiB, 262.99 W, 350.00 W, 40
2023/03/09 03:08:11.237, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 268.64 W, 350.00 W, 41
2023/03/09 03:08:12.238, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 269.22 W, 350.00 W, 41
2023/03/09 03:08:13.240, NVIDIA GeForce RTX 3090, 59 %, 32 %, 24268 MiB, 23655 MiB, 271.15 W, 350.00 W, 42
2023/03/09 03:08:14.241, NVIDIA GeForce RTX 3090, 53 %, 28 %, 24268 MiB, 23655 MiB, 268.57 W, 350.00 W, 42
2023/03/09 03:08:15.242, NVIDIA GeForce RTX 3090, 0 %, 0 %, 24268 MiB, 23655 MiB, 163.10 W, 350.00 W, 39
2023/03/09 03:08:16.243, NVIDIA GeForce RTX 3090, 77 %, 42 %, 24268 MiB, 23655 MiB, 296.77 W, 350.00 W, 45
2023/03/09 03:08:17.244, NVIDIA GeForce RTX 3090, 76 %, 42 %, 24268 MiB, 23655 MiB, 322.39 W, 350.00 W, 45
2023/03/09 03:08:18.246, NVIDIA GeForce RTX 3090, 75 %, 41 %, 24268 MiB, 23655 MiB, 321.54 W, 350.00 W, 46
2023/03/09 03:08:19.247, NVIDIA GeForce RTX 3090, 59 %, 32 %, 24268 MiB, 23655 MiB, 283.37 W, 350.00 W, 45
2023/03/09 03:08:20.248, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 266.02 W, 350.00 W, 45
2023/03/09 03:08:21.250, NVIDIA GeForce RTX 3090, 58 %, 32 %, 24268 MiB, 23655 MiB, 270.68 W, 350.00 W, 46
2023/03/09 03:08:22.251, NVIDIA GeForce RTX 3090, 48 %, 26 %, 24268 MiB, 23655 MiB, 261.39 W, 350.00 W, 46
2023/03/09 03:08:23.253, NVIDIA GeForce RTX 3090, 59 %, 31 %, 24268 MiB, 23655 MiB, 271.05 W, 350.00 W, 47
2023/03/09 03:08:24.254, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 272.72 W, 350.00 W, 47
2023/03/09 03:08:25.255, NVIDIA GeForce RTX 3090, 59 %, 32 %, 24268 MiB, 23655 MiB, 274.99 W, 350.00 W, 48
2023/03/09 03:08:26.256, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 271.86 W, 350.00 W, 48
2023/03/09 03:08:27.258, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 274.12 W, 350.00 W, 48
2023/03/09 03:08:28.259, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 271.86 W, 350.00 W, 49
2023/03/09 03:08:29.261, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 275.12 W, 350.00 W, 49
2023/03/09 03:08:30.262, NVIDIA GeForce RTX 3090, 76 %, 42 %, 24268 MiB, 23655 MiB, 289.59 W, 350.00 W, 51
2023/03/09 03:08:31.264, NVIDIA GeForce RTX 3090, 77 %, 42 %, 24268 MiB, 23655 MiB, 326.18 W, 350.00 W, 52
2023/03/09 03:08:32.265, NVIDIA GeForce RTX 3090, 76 %, 42 %, 24268 MiB, 23655 MiB, 325.44 W, 350.00 W, 52
2023/03/09 03:08:33.266, NVIDIA GeForce RTX 3090, 74 %, 41 %, 24268 MiB, 23655 MiB, 326.11 W, 350.00 W, 50
2023/03/09 03:08:34.268, NVIDIA GeForce RTX 3090, 57 %, 31 %, 24268 MiB, 23655 MiB, 270.84 W, 350.00 W, 52
2023/03/09 03:08:35.269, NVIDIA GeForce RTX 3090, 55 %, 30 %, 24268 MiB, 23655 MiB, 275.08 W, 350.00 W, 52
2023/03/09 03:08:36.271, NVIDIA GeForce RTX 3090, 56 %, 31 %, 24268 MiB, 23655 MiB, 271.94 W, 350.00 W, 52
2023/03/09 03:08:37.272, NVIDIA GeForce RTX 3090, 54 %, 30 %, 24268 MiB, 23655 MiB, 272.14 W, 350.00 W, 53
2023/03/09 03:08:38.274, NVIDIA GeForce RTX 3090, 52 %, 28 %, 24268 MiB, 23655 MiB, 276.23 W, 350.00 W, 53
2023/03/09 03:08:39.275, NVIDIA GeForce RTX 3090, 57 %, 31 %, 24268 MiB, 23655 MiB, 277.59 W, 350.00 W, 53
2023/03/09 03:08:40.277, NVIDIA GeForce RTX 3090, 57 %, 31 %, 24268 MiB, 23655 MiB, 278.70 W, 350.00 W, 54
2023/03/09 03:08:41.278, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 281.32 W, 350.00 W, 54
2023/03/09 03:08:42.279, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 277.88 W, 350.00 W, 54
2023/03/09 03:08:43.281, NVIDIA GeForce RTX 3090, 56 %, 30 %, 24268 MiB, 23655 MiB, 281.98 W, 350.00 W, 54
2023/03/09 03:08:44.283, NVIDIA GeForce RTX 3090, 57 %, 31 %, 24268 MiB, 23655 MiB, 277.76 W, 350.00 W, 55
