timestamp,gpu_name,gpu_usage,gpu_memory_usage,gpu_total_memory,gpu_memory_used,gpu_power_draw,gpu_max_power,gpu_temperature
2022-12-06 06:08:41.502,NVIDIA GeForce RTX 3090,17 %,7 %,24268 MiB,23657 MiB,126.92 W,350.00 W,42
2022-12-06 06:08:42.503,NVIDIA GeForce RTX 3090,16 %,6 %,24268 MiB,23657 MiB,127.32 W,350.00 W,42
2022-12-06 06:08:43.504,NVIDIA GeForce RTX 3090,17 %,7 %,24268 MiB,23657 MiB,127.86 W,350.00 W,42
2022-12-06 06:08:44.505,NVIDIA GeForce RTX 3090,18 %,7 %,24268 MiB,23657 MiB,128.02 W,350.00 W,42
2022-12-06 06:08:45.506,NVIDIA GeForce RTX 3090,18 %,7 %,24268 MiB,23657 MiB,127.69 W,350.00 W,43
2022-12-06 06:08:46.507,NVIDIA GeForce RTX 3090,17 %,7 %,24268 MiB,23657 MiB,127.73 W,350.00 W,43
2022-12-06 06:08:47.508,NVIDIA GeForce RTX 3090,9 %,4 %,24268 MiB,23657 MiB,125.06 W,350.00 W,43
2022-12-06 06:08:48.510,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,116.54 W,350.00 W,43
2022-12-06 06:08:49.511,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,116.62 W,350.00 W,43
2022-12-06 06:08:50.512,NVIDIA GeForce RTX 3090,5 %,2 %,24268 MiB,23657 MiB,116.32 W,350.00 W,43
2022-12-06 06:08:51.513,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,116.39 W,350.00 W,43
2022-12-06 06:08:52.515,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,116.94 W,350.00 W,43
2022-12-06 06:08:53.516,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,116.72 W,350.00 W,44
2022-12-06 06:08:54.517,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,116.71 W,350.00 W,44
2022-12-06 06:08:55.518,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,117.11 W,350.00 W,44
2022-12-06 06:08:56.520,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,116.81 W,350.00 W,44
2022-12-06 06:08:57.521,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,117.07 W,350.00 W,44
2022-12-06 06:08:58.522,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,116.86 W,350.00 W,44
2022-12-06 06:08:59.526,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,116.97 W,350.00 W,44
2022-12-06 06:09:00.528,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,116.54 W,350.00 W,45
2022-12-06 06:09:01.529,NVIDIA GeForce RTX 3090,18 %,7 %,24268 MiB,23657 MiB,128.74 W,350.00 W,45
2022-12-06 06:09:02.530,NVIDIA GeForce RTX 3090,17 %,7 %,24268 MiB,23657 MiB,128.52 W,350.00 W,45
2022-12-06 06:09:03.532,NVIDIA GeForce RTX 3090,18 %,7 %,24268 MiB,23657 MiB,129.54 W,350.00 W,45
2022-12-06 06:09:04.533,NVIDIA GeForce RTX 3090,18 %,7 %,24268 MiB,23657 MiB,129.30 W,350.00 W,45
2022-12-06 06:09:05.534,NVIDIA GeForce RTX 3090,18 %,7 %,24268 MiB,23657 MiB,129.47 W,350.00 W,46
2022-12-06 06:09:06.535,NVIDIA GeForce RTX 3090,19 %,8 %,24268 MiB,23657 MiB,129.69 W,350.00 W,46
2022-12-06 06:09:07.536,NVIDIA GeForce RTX 3090,18 %,7 %,24268 MiB,23657 MiB,129.62 W,350.00 W,46
2022-12-06 06:09:08.538,NVIDIA GeForce RTX 3090,17 %,7 %,24268 MiB,23657 MiB,129.89 W,350.00 W,46
2022-12-06 06:09:09.539,NVIDIA GeForce RTX 3090,17 %,7 %,24268 MiB,23657 MiB,129.51 W,350.00 W,46
2022-12-06 06:09:10.540,NVIDIA GeForce RTX 3090,17 %,7 %,24268 MiB,23657 MiB,129.55 W,350.00 W,46
2022-12-06 06:09:11.541,NVIDIA GeForce RTX 3090,18 %,7 %,24268 MiB,23657 MiB,130.00 W,350.00 W,46
2022-12-06 06:09:12.543,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,121.30 W,350.00 W,46
2022-12-06 06:09:13.544,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,118.13 W,350.00 W,46
2022-12-06 06:09:14.546,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,118.25 W,350.00 W,47
2022-12-06 06:09:15.547,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,118.26 W,350.00 W,47
2022-12-06 06:09:16.549,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,118.23 W,350.00 W,47
2022-12-06 06:09:17.550,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,118.28 W,350.00 W,47
2022-12-06 06:09:18.551,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,118.80 W,350.00 W,47
2022-12-06 06:09:19.552,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,118.99 W,350.00 W,47
2022-12-06 06:09:20.554,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,119.12 W,350.00 W,47
2022-12-06 06:09:21.558,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,119.34 W,350.00 W,47
2022-12-06 06:09:22.560,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,119.15 W,350.00 W,47
2022-12-06 06:09:23.561,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,119.06 W,350.00 W,47
2022-12-06 06:09:24.563,NVIDIA GeForce RTX 3090,6 %,3 %,24268 MiB,23657 MiB,119.39 W,350.00 W,47
2022-12-06 06:09:25.564,NVIDIA GeForce RTX 3090,18 %,7 %,24268 MiB,23657 MiB,124.11 W,350.00 W,48
