timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], power.draw [W], power.max_limit [W], temperature.gpu
2023/03/04 15:37:55.966, NVIDIA GeForce RTX 3070, 0 %, 34 %, 8192 MiB, 7483 MiB, 24.01 W, 240.00 W, 41
2023/03/04 15:37:56.968, NVIDIA GeForce RTX 3070, 0 %, 27 %, 8192 MiB, 7483 MiB, 23.26 W, 240.00 W, 41
2023/03/04 15:37:57.970, NVIDIA GeForce RTX 3070, 0 %, 38 %, 8192 MiB, 7483 MiB, 23.25 W, 240.00 W, 41
2023/03/04 15:37:58.973, NVIDIA GeForce RTX 3070, 0 %, 44 %, 8192 MiB, 7483 MiB, 23.52 W, 240.00 W, 41
2023/03/04 15:37:59.974, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7483 MiB, 55.40 W, 240.00 W, 43
2023/03/04 15:38:00.977, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7483 MiB, 55.38 W, 240.00 W, 43
2023/03/04 15:38:01.979, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7483 MiB, 55.50 W, 240.00 W, 43
2023/03/04 15:38:02.980, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7483 MiB, 55.47 W, 240.00 W, 43
2023/03/04 15:38:03.981, NVIDIA GeForce RTX 3070, 1 %, 0 %, 8192 MiB, 7483 MiB, 55.46 W, 240.00 W, 43
2023/03/04 15:38:04.982, NVIDIA GeForce RTX 3070, 88 %, 75 %, 8192 MiB, 7483 MiB, 237.85 W, 240.00 W, 56
2023/03/04 15:38:05.983, NVIDIA GeForce RTX 3070, 88 %, 76 %, 8192 MiB, 7483 MiB, 227.80 W, 240.00 W, 57
2023/03/04 15:38:06.985, NVIDIA GeForce RTX 3070, 87 %, 75 %, 8192 MiB, 7483 MiB, 231.82 W, 240.00 W, 59
2023/03/04 15:38:07.986, NVIDIA GeForce RTX 3070, 87 %, 75 %, 8192 MiB, 7483 MiB, 228.44 W, 240.00 W, 59
2023/03/04 15:38:08.987, NVIDIA GeForce RTX 3070, 86 %, 74 %, 8192 MiB, 7483 MiB, 232.35 W, 240.00 W, 59
2023/03/04 15:38:09.988, NVIDIA GeForce RTX 3070, 87 %, 75 %, 8192 MiB, 7483 MiB, 228.22 W, 240.00 W, 60
2023/03/04 15:38:10.990, NVIDIA GeForce RTX 3070, 88 %, 76 %, 8192 MiB, 7483 MiB, 227.31 W, 240.00 W, 60
2023/03/04 15:38:11.995, NVIDIA GeForce RTX 3070, 88 %, 76 %, 8192 MiB, 7483 MiB, 227.32 W, 240.00 W, 61
2023/03/04 15:38:12.997, NVIDIA GeForce RTX 3070, 87 %, 76 %, 8192 MiB, 7483 MiB, 227.35 W, 240.00 W, 61
2023/03/04 15:38:13.998, NVIDIA GeForce RTX 3070, 87 %, 74 %, 8192 MiB, 7483 MiB, 226.44 W, 240.00 W, 61
