timestamp, name, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], power.draw [W], power.max_limit [W], temperature.gpu
2023/03/06 18:13:41.241, NVIDIA GeForce RTX 3070, 0 %, 2 %, 8192 MiB, 7257 MiB, 23.27 W, 240.00 W, 41
2023/03/06 18:13:42.243, NVIDIA GeForce RTX 3070, 0 %, 2 %, 8192 MiB, 7257 MiB, 23.64 W, 240.00 W, 41
2023/03/06 18:13:43.245, NVIDIA GeForce RTX 3070, 0 %, 2 %, 8192 MiB, 7257 MiB, 22.95 W, 240.00 W, 41
2023/03/06 18:13:44.247, NVIDIA GeForce RTX 3070, 0 %, 2 %, 8192 MiB, 7257 MiB, 23.50 W, 240.00 W, 41
2023/03/06 18:13:45.249, NVIDIA GeForce RTX 3070, 3 %, 0 %, 8192 MiB, 7257 MiB, 55.10 W, 240.00 W, 43
2023/03/06 18:13:46.252, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7257 MiB, 55.09 W, 240.00 W, 43
2023/03/06 18:13:47.253, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7257 MiB, 55.02 W, 240.00 W, 43
2023/03/06 18:13:48.255, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7257 MiB, 55.19 W, 240.00 W, 44
2023/03/06 18:13:49.256, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7257 MiB, 55.28 W, 240.00 W, 44
2023/03/06 18:13:50.257, NVIDIA GeForce RTX 3070, 1 %, 0 %, 8192 MiB, 7257 MiB, 55.55 W, 240.00 W, 44
2023/03/06 18:13:51.258, NVIDIA GeForce RTX 3070, 0 %, 0 %, 8192 MiB, 7257 MiB, 55.53 W, 240.00 W, 44
2023/03/06 18:13:52.259, NVIDIA GeForce RTX 3070, 76 %, 54 %, 8192 MiB, 7257 MiB, 162.96 W, 240.00 W, 52
2023/03/06 18:13:53.260, NVIDIA GeForce RTX 3070, 77 %, 54 %, 8192 MiB, 7257 MiB, 160.57 W, 240.00 W, 53
2023/03/06 18:13:54.262, NVIDIA GeForce RTX 3070, 80 %, 57 %, 8192 MiB, 7257 MiB, 162.12 W, 240.00 W, 54
2023/03/06 18:13:55.265, NVIDIA GeForce RTX 3070, 79 %, 56 %, 8192 MiB, 7257 MiB, 165.99 W, 240.00 W, 54
2023/03/06 18:13:56.269, NVIDIA GeForce RTX 3070, 79 %, 56 %, 8192 MiB, 7257 MiB, 160.65 W, 240.00 W, 55
2023/03/06 18:13:57.270, NVIDIA GeForce RTX 3070, 78 %, 56 %, 8192 MiB, 7257 MiB, 159.65 W, 240.00 W, 55
2023/03/06 18:13:58.271, NVIDIA GeForce RTX 3070, 79 %, 56 %, 8192 MiB, 7257 MiB, 158.77 W, 240.00 W, 55
2023/03/06 18:13:59.273, NVIDIA GeForce RTX 3070, 79 %, 56 %, 8192 MiB, 7257 MiB, 160.76 W, 240.00 W, 55
2023/03/06 18:14:00.274, NVIDIA GeForce RTX 3070, 81 %, 57 %, 8192 MiB, 7257 MiB, 163.45 W, 240.00 W, 56
2023/03/06 18:14:01.275, NVIDIA GeForce RTX 3070, 79 %, 57 %, 8192 MiB, 7257 MiB, 161.99 W, 240.00 W, 56
2023/03/06 18:14:02.276, NVIDIA GeForce RTX 3070, 78 %, 55 %, 8192 MiB, 7257 MiB, 161.82 W, 240.00 W, 56
2023/03/06 18:14:03.277, NVIDIA GeForce RTX 3070, 76 %, 55 %, 8192 MiB, 7257 MiB, 164.94 W, 240.00 W, 56
2023/03/06 18:14:04.279, NVIDIA GeForce RTX 3070, 78 %, 56 %, 8192 MiB, 7257 MiB, 164.49 W, 240.00 W, 56
2023/03/06 18:14:05.280, NVIDIA GeForce RTX 3070, 79 %, 56 %, 8192 MiB, 7257 MiB, 160.32 W, 240.00 W, 57
2023/03/06 18:14:06.281, NVIDIA GeForce RTX 3070, 90 %, 66 %, 8192 MiB, 7257 MiB, 186.34 W, 240.00 W, 57
2023/03/06 18:14:07.285, NVIDIA GeForce RTX 3070, 90 %, 67 %, 8192 MiB, 7257 MiB, 189.76 W, 240.00 W, 58
2023/03/06 18:14:08.287, NVIDIA GeForce RTX 3070, 90 %, 67 %, 8192 MiB, 7257 MiB, 188.07 W, 240.00 W, 58
2023/03/06 18:14:09.288, NVIDIA GeForce RTX 3070, 89 %, 66 %, 8192 MiB, 7257 MiB, 186.17 W, 240.00 W, 59
2023/03/06 18:14:10.289, NVIDIA GeForce RTX 3070, 89 %, 66 %, 8192 MiB, 7257 MiB, 185.96 W, 240.00 W, 59
2023/03/06 18:14:11.291, NVIDIA GeForce RTX 3070, 76 %, 53 %, 8192 MiB, 7257 MiB, 168.44 W, 240.00 W, 58
2023/03/06 18:14:12.292, NVIDIA GeForce RTX 3070, 78 %, 56 %, 8192 MiB, 7257 MiB, 166.30 W, 240.00 W, 58
2023/03/06 18:14:13.293, NVIDIA GeForce RTX 3070, 78 %, 55 %, 8192 MiB, 7257 MiB, 171.34 W, 240.00 W, 58
2023/03/06 18:14:14.294, NVIDIA GeForce RTX 3070, 77 %, 54 %, 8192 MiB, 7257 MiB, 164.74 W, 240.00 W, 58
2023/03/06 18:14:15.295, NVIDIA GeForce RTX 3070, 78 %, 56 %, 8192 MiB, 7257 MiB, 165.15 W, 240.00 W, 58
2023/03/06 18:14:16.297, NVIDIA GeForce RTX 3070, 80 %, 56 %, 8192 MiB, 7257 MiB, 172.49 W, 240.00 W, 58
2023/03/06 18:14:17.298, NVIDIA GeForce RTX 3070, 78 %, 56 %, 8192 MiB, 7257 MiB, 168.68 W, 240.00 W, 58
2023/03/06 18:14:18.302, NVIDIA GeForce RTX 3070, 77 %, 55 %, 8192 MiB, 7257 MiB, 171.15 W, 240.00 W, 58
2023/03/06 18:14:19.303, NVIDIA GeForce RTX 3070, 79 %, 56 %, 8192 MiB, 7257 MiB, 169.43 W, 240.00 W, 59
2023/03/06 18:14:20.305, NVIDIA GeForce RTX 3070, 78 %, 55 %, 8192 MiB, 7257 MiB, 164.67 W, 240.00 W, 58
2023/03/06 18:14:21.306, NVIDIA GeForce RTX 3070, 78 %, 56 %, 8192 MiB, 7257 MiB, 167.31 W, 240.00 W, 59
2023/03/06 18:14:22.307, NVIDIA GeForce RTX 3070, 76 %, 54 %, 8192 MiB, 7257 MiB, 169.87 W, 240.00 W, 59
