timestamp,cpu usage (%),memory usage (MB),temperature (Celsius)
2023-03-05T19:17:42.321620,0.0,18785.867,55.0
2023-03-05T19:17:43.333070,6.425,18785.918,57.0
2023-03-05T19:17:44.343145,5.381,18785.918,37.0
2023-03-05T19:17:45.353205,1.669,18785.922,36.0
2023-03-05T19:17:46.363244,1.731,18785.93,41.25
2023-03-05T19:17:47.372624,2.044,18785.953,35.5
2023-03-05T19:17:48.382612,0.988,18785.961,34.75
2023-03-05T19:17:49.392677,6.25,18786.02,61.0
2023-03-05T19:17:50.402670,15.844,19173.289,51.75
2023-03-05T19:17:51.412762,8.044,19557.82,56.5
2023-03-05T19:17:52.422868,7.856,19546.012,42.0
2023-03-05T19:17:53.432654,8.356,19684.23,51.25
2023-03-05T19:17:54.443516,8.35,19581.883,57.25
2023-03-05T19:17:55.453805,7.731,19749.668,57.5
2023-03-05T19:17:56.464282,8.162,19713.844,60.25
2023-03-05T19:17:57.474364,8.475,19653.27,38.5
2023-03-05T19:17:58.483960,8.231,19719.75,63.0
2023-03-05T19:17:59.494043,7.794,19940.496,44.25
2023-03-05T19:18:00.504090,8.044,19797.938,55.0
2023-03-05T19:18:01.513509,8.175,19623.43,49.25
2023-03-05T19:18:02.523597,8.356,19761.547,43.75
2023-03-05T19:18:03.532632,7.931,19551.453,39.25
2023-03-05T19:18:04.542727,8.231,19623.68,57.5
2023-03-05T19:18:05.552718,4.269,19623.68,36.0
2023-03-05T19:18:06.562732,2.663,19623.68,36.25
2023-03-05T19:18:07.572860,2.781,19623.684,37.25
2023-03-05T19:18:08.582891,2.725,19623.684,36.5
2023-03-05T19:18:09.593098,2.6,19623.684,36.25
2023-03-05T19:18:10.603026,7.056,19731.945,62.25
2023-03-05T19:18:11.613328,8.169,19708.52,41.5
2023-03-05T19:18:12.624113,7.794,19749.617,58.25
2023-03-05T19:18:13.633470,7.369,19702.277,41.25
2023-03-05T19:18:14.644095,7.856,19790.918,50.25
2023-03-05T19:18:15.654207,7.675,19925.402,48.5
2023-03-05T19:18:16.664312,8.169,19696.211,42.25
2023-03-05T19:18:17.674776,8.162,19803.949,44.25
2023-03-05T19:18:18.684971,7.362,19894.117,54.0
2023-03-05T19:18:19.695613,7.794,19696.527,51.5
2023-03-05T19:18:20.705798,8.106,19809.891,42.0
2023-03-05T19:18:21.715844,8.537,19689.582,44.25
2023-03-05T19:18:22.725923,7.119,19653.957,41.75
2023-03-05T19:18:23.736128,8.475,19624.09,44.0
2023-03-05T19:18:24.746347,3.156,19624.145,37.25
2023-03-05T19:18:25.756596,2.781,19624.145,35.5
2023-03-05T19:18:26.766129,3.094,19624.145,36.75
2023-03-05T19:18:27.776254,3.031,19624.145,35.75
2023-03-05T19:18:28.786553,3.712,19641.867,39.5
2023-03-05T19:18:29.797122,8.781,19742.348,40.75
2023-03-05T19:18:30.807546,7.794,19875.855,42.0
2023-03-05T19:18:31.818019,8.475,19834.879,41.75
