timestamp,cpu usage (%),memory usage (MB),temperature (Celsius)
2023-03-06T06:10:26.966468,0.0,19865.762,54.5
2023-03-06T06:10:27.977921,6.487,19866.02,57.0
2023-03-06T06:10:28.987999,5.938,19866.02,64.5
2023-03-06T06:10:29.997984,1.919,19866.023,36.0
2023-03-06T06:10:31.007955,1.669,19866.031,36.5
2023-03-06T06:10:32.018011,2.35,19866.047,36.25
2023-03-06T06:10:33.028203,0.988,19866.07,34.5
2023-03-06T06:10:34.038432,5.756,19866.129,61.75
2023-03-06T06:10:35.048363,15.406,20170.113,55.25
2023-03-06T06:10:36.058636,9.219,20415.801,39.25
2023-03-06T06:10:37.068637,9.406,20523.98,39.75
2023-03-06T06:10:38.079076,9.094,20661.645,43.5
2023-03-06T06:10:39.088667,9.225,20475.715,37.75
2023-03-06T06:10:40.098888,9.031,20433.598,42.25
2023-03-06T06:10:41.108638,9.162,20584.18,43.5
2023-03-06T06:10:42.118838,9.219,20512.254,50.5
2023-03-06T06:10:43.128811,9.219,20541.824,42.25
2023-03-06T06:10:44.138898,9.219,20451.699,40.5
2023-03-06T06:10:45.148629,9.406,20433.578,43.75
2023-03-06T06:10:46.158882,9.156,20511.945,37.25
2023-03-06T06:10:47.169680,9.4,20518.02,41.75
2023-03-06T06:10:48.180016,8.969,20553.84,39.25
2023-03-06T06:10:49.190473,9.219,20511.656,40.25
2023-03-06T06:10:50.200987,5.131,20511.727,37.75
2023-03-06T06:10:51.211016,2.663,20511.73,36.0
2023-03-06T06:10:52.221371,2.719,20511.73,36.25
2023-03-06T06:10:53.230679,2.663,20511.73,37.25
2023-03-06T06:10:54.240617,2.788,20511.73,36.25
2023-03-06T06:10:55.250679,6.188,20565.566,38.5
2023-03-06T06:10:56.260629,9.156,20559.5,39.25
2023-03-06T06:10:57.270789,9.281,20481.457,38.25
2023-03-06T06:10:58.280630,9.219,20517.562,40.0
2023-03-06T06:10:59.291135,9.275,20589.602,40.5
2023-03-06T06:11:00.302231,9.456,20529.785,41.0
2023-03-06T06:11:01.312798,9.463,20559.801,38.25
2023-03-06T06:11:02.323152,9.031,20523.594,38.5
2023-03-06T06:11:03.332646,9.1,20457.434,39.5
2023-03-06T06:11:04.343183,9.031,20511.879,37.0
2023-03-06T06:11:05.352631,9.412,20583.793,39.5
2023-03-06T06:11:06.362998,9.094,20577.285,41.25
2023-03-06T06:11:07.373113,9.406,20512.316,53.25
2023-03-06T06:11:08.383708,9.213,20439.961,38.75
2023-03-06T06:11:09.394332,5.381,20463.762,35.25
2023-03-06T06:11:10.404520,2.969,20463.762,36.25
2023-03-06T06:11:11.414624,3.031,20463.762,36.75
2023-03-06T06:11:12.424700,2.844,20463.762,36.75
2023-03-06T06:11:13.434803,2.781,20463.762,36.25
2023-03-06T06:11:14.444870,7.794,20595.621,40.5
2023-03-06T06:11:15.455690,9.025,20487.422,42.25
2023-03-06T06:11:16.466033,9.4,20517.652,42.75
2023-03-06T06:11:17.475617,9.037,20451.621,38.5
2023-03-06T06:11:18.486118,9.219,20481.562,39.0
2023-03-06T06:11:19.496641,9.338,20562.852,37.75
2023-03-06T06:11:20.507228,9.338,20649.969,40.25
2023-03-06T06:11:21.517782,8.969,20520.809,40.5
2023-03-06T06:11:22.528361,9.094,20577.527,41.0
2023-03-06T06:11:23.538753,9.031,20535.895,38.75
2023-03-06T06:11:24.548634,9.1,20524.145,39.5
2023-03-06T06:11:25.558878,9.281,20570.012,38.75
2023-03-06T06:11:26.569244,9.344,20567.867,40.75
2023-03-06T06:11:27.579716,9.219,20446.414,38.0
2023-03-06T06:11:28.590306,3.956,20476.066,36.5
2023-03-06T06:11:29.600709,2.844,20476.102,36.0
2023-03-06T06:11:30.610751,2.906,20476.102,35.5
2023-03-06T06:11:31.620863,2.906,20476.102,35.25
2023-03-06T06:11:32.630993,2.906,20476.047,36.25
2023-03-06T06:11:33.641212,9.463,20608.031,39.75
2023-03-06T06:11:34.651558,9.031,20469.855,38.75
2023-03-06T06:11:35.661880,8.969,20541.832,42.5
2023-03-06T06:11:36.672447,9.213,20517.766,41.0
2023-03-06T06:11:37.683119,9.094,20589.484,38.25
2023-03-06T06:11:38.692643,9.412,20487.582,39.5
2023-03-06T06:11:39.702918,9.463,20404.531,40.75
2023-03-06T06:11:40.713934,9.4,20517.188,39.25
2023-03-06T06:11:41.724258,9.094,20493.609,50.75
2023-03-06T06:11:42.733580,9.412,20463.316,45.0
2023-03-06T06:11:43.744062,9.4,20469.805,41.0
2023-03-06T06:11:44.754648,9.156,20451.715,40.25
2023-03-06T06:11:45.764745,9.094,20529.805,44.75
2023-03-06T06:11:46.775714,8.906,20536.0,39.0
2023-03-06T06:11:47.786435,2.844,20542.234,36.75
2023-03-06T06:11:48.796993,2.719,20542.234,36.5
2023-03-06T06:11:49.807144,2.663,20542.234,36.75
2023-03-06T06:11:50.816628,2.6,20542.234,36.75
2023-03-06T06:11:51.827003,3.9,20590.156,46.25
2023-03-06T06:11:52.837231,9.156,20571.582,42.5
2023-03-06T06:11:53.847577,9.281,20511.312,39.0
2023-03-06T06:11:54.857949,9.525,20475.324,41.25
2023-03-06T06:11:55.868475,9.4,20451.152,40.75
2023-03-06T06:11:56.879172,9.213,20541.621,41.75
2023-03-06T06:11:57.888637,9.162,20607.273,40.25
2023-03-06T06:11:58.898800,8.85,20553.52,42.25
2023-03-06T06:11:59.909323,8.537,20625.754,40.75
2023-03-06T06:12:00.919549,8.969,20589.617,61.25
2023-03-06T06:12:01.929721,9.156,20583.438,44.25
2023-03-06T06:12:02.940056,9.281,20553.523,41.25
2023-03-06T06:12:03.950371,8.662,20499.664,39.75
2023-03-06T06:12:04.960604,8.725,20535.352,41.5
2023-03-06T06:12:05.971080,7.794,20601.438,37.25
2023-03-06T06:12:06.981449,2.663,20601.438,36.75
2023-03-06T06:12:07.991752,2.663,20601.438,38.5
2023-03-06T06:12:09.001865,2.844,20601.438,37.0
2023-03-06T06:12:10.012037,2.906,20601.438,37.75
2023-03-06T06:12:11.022041,4.825,20607.734,40.75
2023-03-06T06:12:12.032635,9.094,20499.535,41.0
2023-03-06T06:12:13.042891,9.463,20517.656,47.25
2023-03-06T06:12:14.052970,9.406,20535.559,41.25
2023-03-06T06:12:15.064384,9.269,20523.703,39.5
2023-03-06T06:12:16.074815,9.031,20571.777,40.25
2023-03-06T06:12:17.084635,9.344,20522.355,42.0
2023-03-06T06:12:18.094998,9.094,20553.637,43.0
2023-03-06T06:12:19.104638,9.531,20523.43,43.5
2023-03-06T06:12:20.114793,9.281,20565.25,41.25
2023-03-06T06:12:21.125730,9.519,20511.586,40.75
2023-03-06T06:12:22.135872,9.031,20525.562,44.75
2023-03-06T06:12:23.146043,9.281,20469.809,39.0
2023-03-06T06:12:24.156534,9.219,20451.879,45.5
2023-03-06T06:12:25.166153,7.369,20511.68,37.5
2023-03-06T06:12:26.176623,3.156,20511.727,37.25
2023-03-06T06:12:27.186955,3.156,20511.727,37.75
2023-03-06T06:12:28.197376,3.156,20511.727,37.25
2023-03-06T06:12:29.207622,2.781,20511.727,37.5
2023-03-06T06:12:30.217755,5.938,20331.734,52.5
2023-03-06T06:12:31.228212,9.275,20397.293,39.5
2023-03-06T06:12:32.238619,9.219,20277.777,55.75
2023-03-06T06:12:33.248638,9.156,20338.047,40.75
2023-03-06T06:12:34.259038,9.281,20362.164,43.75
2023-03-06T06:12:35.268653,9.037,20367.57,42.25
2023-03-06T06:12:36.278553,9.281,20296.176,48.25
2023-03-06T06:12:37.288648,9.281,20374.309,48.75
2023-03-06T06:12:38.299236,9.156,20337.684,41.0
2023-03-06T06:12:39.308644,9.412,20409.883,43.25
2023-03-06T06:12:40.319291,9.275,20410.164,43.0
2023-03-06T06:12:41.328629,9.225,20290.465,42.75
2023-03-06T06:12:42.338588,9.156,20331.961,41.0
2023-03-06T06:12:43.348879,9.094,20319.988,40.25
2023-03-06T06:12:44.359553,6.369,20416.375,37.5
2023-03-06T06:12:45.370095,3.156,20416.422,38.25
2023-03-06T06:12:46.380501,3.156,20416.422,37.75
2023-03-06T06:12:47.390820,3.031,20416.422,40.0
2023-03-06T06:12:48.400627,3.219,20416.422,37.25
2023-03-06T06:12:49.410850,7.175,20416.023,42.5
2023-03-06T06:12:50.420632,9.162,20350.133,40.0
2023-03-06T06:12:51.430741,9.219,20361.969,43.75
2023-03-06T06:12:52.440684,9.156,20308.223,41.25
2023-03-06T06:12:53.451334,9.525,20397.855,41.75
2023-03-06T06:12:54.461852,9.4,20446.094,41.75
2023-03-06T06:12:55.472320,9.4,20361.996,41.25
2023-03-06T06:12:56.482787,9.031,20362.016,41.5
2023-03-06T06:12:57.492930,9.344,20229.973,42.5
2023-03-06T06:12:58.503127,9.406,20338.133,41.75
2023-03-06T06:12:59.513816,9.275,20320.273,41.75
2023-03-06T06:13:00.524009,9.406,20446.203,45.5
2023-03-06T06:13:01.534717,9.4,20367.625,42.5
2023-03-06T06:13:02.544644,9.281,20336.223,42.5
2023-03-06T06:13:03.555332,5.569,20373.598,38.75
2023-03-06T06:13:04.565727,2.906,20373.645,38.25
2023-03-06T06:13:05.575767,3.031,20373.645,37.5
2023-03-06T06:13:06.586666,2.844,20373.645,38.0
2023-03-06T06:13:07.597061,3.156,20373.645,39.0
2023-03-06T06:13:08.607416,8.044,20302.008,39.25
2023-03-06T06:13:09.618192,9.4,20248.023,42.0
2023-03-06T06:13:10.628310,9.219,20337.781,46.5
2023-03-06T06:13:11.638644,9.344,20368.445,42.5
2023-03-06T06:13:12.649295,9.094,20326.137,45.75
2023-03-06T06:13:13.659542,9.281,20331.891,45.0
2023-03-06T06:13:14.669886,9.094,20379.941,46.0
2023-03-06T06:13:15.680695,9.213,20368.07,42.5
2023-03-06T06:13:16.691187,9.156,20325.75,52.5
2023-03-06T06:13:17.700645,9.35,20415.965,42.5
2023-03-06T06:13:18.711812,9.088,20379.805,40.25
2023-03-06T06:13:19.722104,9.031,20338.316,39.75
2023-03-06T06:13:20.732590,9.4,20338.422,42.5
2023-03-06T06:13:21.742581,8.912,20307.941,41.25
2023-03-06T06:13:22.752627,4.025,20343.973,38.0
2023-03-06T06:13:23.762841,2.969,20343.973,38.25
2023-03-06T06:13:24.772617,2.906,20343.973,38.75
2023-03-06T06:13:25.782670,2.844,20343.973,38.25
2023-03-06T06:13:26.792665,2.844,20343.918,40.5
2023-03-06T06:13:27.803487,8.719,20276.867,41.25
2023-03-06T06:13:28.814105,9.275,20457.793,42.5
2023-03-06T06:13:29.824655,9.094,20290.484,42.25
2023-03-06T06:13:30.835200,9.525,20308.09,43.0
2023-03-06T06:13:31.844640,9.412,20415.719,42.25
2023-03-06T06:13:32.854927,9.219,20373.625,45.25
2023-03-06T06:13:33.866032,9.275,20326.184,48.0
2023-03-06T06:13:34.876395,9.344,20325.461,41.0
2023-03-06T06:13:35.886735,9.463,20366.746,58.25
2023-03-06T06:13:36.896638,9.281,20337.895,41.5
2023-03-06T06:13:37.907145,9.338,20416.074,43.0
2023-03-06T06:13:38.917603,9.338,20350.434,42.0
2023-03-06T06:13:39.928685,9.644,20392.621,39.75
2023-03-06T06:13:40.939005,9.156,20326.59,44.5
2023-03-06T06:13:41.953756,3.631,20290.758,39.25
2023-03-06T06:13:42.964104,2.663,20290.805,38.75
2023-03-06T06:13:43.973738,2.913,20290.805,38.5
2023-03-06T06:13:44.983804,2.663,20290.805,38.75
2023-03-06T06:13:45.993949,2.475,19680.312,37.75
2023-03-06T06:13:47.004416,5.506,19680.359,65.0
2023-03-06T06:13:48.014443,6.375,19680.359,68.5
2023-03-06T06:13:49.024564,15.775,20091.051,43.75
2023-03-06T06:13:50.034821,7.237,20289.031,64.25
2023-03-06T06:13:51.045172,7.175,20348.93,69.5
2023-03-06T06:13:52.055287,7.056,20271.219,54.0
2023-03-06T06:13:53.065672,7.112,20343.203,59.25
2023-03-06T06:13:54.075764,7.119,20337.332,66.0
2023-03-06T06:13:55.085805,7.175,20409.074,43.25
2023-03-06T06:13:56.096279,7.05,20379.977,47.25
2023-03-06T06:13:57.107279,7.169,20396.922,68.25
2023-03-06T06:13:58.116629,7.181,20481.227,44.0
2023-03-06T06:13:59.126841,6.994,20451.066,47.75
2023-03-06T06:14:00.136630,7.244,20421.262,65.5
2023-03-06T06:14:01.146869,7.362,20367.477,44.5
2023-03-06T06:14:02.157220,7.112,20511.145,47.25
