timestamp,gpu_name,gpu_usage,gpu_memory_usage,gpu_total_memory,gpu_memory_used,gpu_power_draw,gpu_max_power,gpu_temperature
2022-12-07 14:44:58.649,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,10.67 W,350.00 W,31
2022-12-07 14:44:59.652,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,10.29 W,350.00 W,31
2022-12-07 14:45:00.654,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,10.54 W,350.00 W,31
2022-12-07 14:45:01.657,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,10.50 W,350.00 W,31
2022-12-07 14:45:02.659,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,63.75 W,350.00 W,34
2022-12-07 14:45:03.660,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,105.27 W,350.00 W,34
2022-12-07 14:45:04.662,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,105.28 W,350.00 W,34
2022-12-07 14:45:05.663,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,105.61 W,350.00 W,34
2022-12-07 14:45:06.664,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,105.68 W,350.00 W,35
2022-12-07 14:45:07.666,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,105.94 W,350.00 W,35
2022-12-07 14:45:08.667,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,105.93 W,350.00 W,35
2022-12-07 14:45:09.669,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,106.00 W,350.00 W,35
2022-12-07 14:45:10.670,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,106.13 W,350.00 W,35
2022-12-07 14:45:11.671,NVIDIA GeForce RTX 3090,23 %,10 %,24268 MiB,23657 MiB,120.82 W,350.00 W,38
2022-12-07 14:45:12.672,NVIDIA GeForce RTX 3090,49 %,24 %,24268 MiB,23657 MiB,251.05 W,350.00 W,40
2022-12-07 14:45:13.672,NVIDIA GeForce RTX 3090,53 %,26 %,24268 MiB,23657 MiB,254.26 W,350.00 W,41
