timestamp,gpu_name,gpu_usage,gpu_memory_usage,gpu_total_memory,gpu_memory_used,gpu_power_draw,gpu_max_power,gpu_temperature
2022-12-07 03:43:32.805,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,10.20 W,350.00 W,31
2022-12-07 03:43:33.808,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,10.35 W,350.00 W,31
2022-12-07 03:43:34.811,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,9.98 W,350.00 W,31
2022-12-07 03:43:35.813,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,50.98 W,350.00 W,33
2022-12-07 03:43:36.815,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,104.91 W,350.00 W,34
2022-12-07 03:43:37.816,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,104.98 W,350.00 W,34
2022-12-07 03:43:38.822,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,105.20 W,350.00 W,34
2022-12-07 03:43:39.823,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,105.32 W,350.00 W,35
2022-12-07 03:43:40.824,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,105.56 W,350.00 W,35
2022-12-07 03:43:41.826,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,105.76 W,350.00 W,35
2022-12-07 03:43:42.827,NVIDIA GeForce RTX 3090,15 %,6 %,24268 MiB,23657 MiB,110.01 W,350.00 W,37
2022-12-07 03:43:43.828,NVIDIA GeForce RTX 3090,53 %,26 %,24268 MiB,23657 MiB,240.81 W,350.00 W,39
2022-12-07 03:43:44.829,NVIDIA GeForce RTX 3090,53 %,26 %,24268 MiB,23657 MiB,252.57 W,350.00 W,40
2022-12-07 03:43:45.830,NVIDIA GeForce RTX 3090,53 %,26 %,24268 MiB,23657 MiB,253.52 W,350.00 W,40
2022-12-07 03:43:46.830,NVIDIA GeForce RTX 3090,53 %,26 %,24268 MiB,23657 MiB,252.44 W,350.00 W,42
2022-12-07 03:43:47.831,NVIDIA GeForce RTX 3090,49 %,24 %,24268 MiB,23657 MiB,251.98 W,350.00 W,42
2022-12-07 03:43:48.832,NVIDIA GeForce RTX 3090,49 %,24 %,24268 MiB,23657 MiB,255.21 W,350.00 W,43
2022-12-07 03:43:49.833,NVIDIA GeForce RTX 3090,55 %,26 %,24268 MiB,23657 MiB,257.36 W,350.00 W,44
2022-12-07 03:43:50.834,NVIDIA GeForce RTX 3090,53 %,26 %,24268 MiB,23657 MiB,257.16 W,350.00 W,44
2022-12-07 03:43:51.834,NVIDIA GeForce RTX 3090,50 %,24 %,24268 MiB,23657 MiB,256.84 W,350.00 W,44
2022-12-07 03:43:52.835,NVIDIA GeForce RTX 3090,51 %,25 %,24268 MiB,23657 MiB,256.20 W,350.00 W,45
2022-12-07 03:43:53.836,NVIDIA GeForce RTX 3090,52 %,25 %,24268 MiB,23657 MiB,256.18 W,350.00 W,46
2022-12-07 03:43:54.837,NVIDIA GeForce RTX 3090,53 %,26 %,24268 MiB,23657 MiB,255.99 W,350.00 W,46
2022-12-07 03:43:55.837,NVIDIA GeForce RTX 3090,40 %,19 %,24268 MiB,23657 MiB,241.70 W,350.00 W,44
2022-12-07 03:43:56.838,NVIDIA GeForce RTX 3090,0 %,0 %,24268 MiB,23657 MiB,134.53 W,350.00 W,43
2022-12-07 03:43:57.839,NVIDIA GeForce RTX 3090,24 %,10 %,24268 MiB,23657 MiB,165.48 W,350.00 W,44
2022-12-07 03:43:58.840,NVIDIA GeForce RTX 3090,22 %,9 %,24268 MiB,23657 MiB,143.15 W,350.00 W,44
2022-12-07 03:43:59.841,NVIDIA GeForce RTX 3090,24 %,10 %,24268 MiB,23657 MiB,143.82 W,350.00 W,44
2022-12-07 03:44:00.842,NVIDIA GeForce RTX 3090,24 %,10 %,24268 MiB,23657 MiB,144.12 W,350.00 W,44
2022-12-07 03:44:01.845,NVIDIA GeForce RTX 3090,25 %,11 %,24268 MiB,23657 MiB,145.07 W,350.00 W,44
